eu_es,ordinanza_attuale,oc_os,regione,prov,comune,cup,cup_master_unico,intervento_nome,soggetto_attuatore,importo_programmato,fase_di_avanzamento_al_22_dicembre_2024,url_opencup,pro_com_t
EU_1293,OC_109,OC,UMBRIA,PG,Norcia,I54J19000080001,,Loc. Nottoria - Coni detritici/Colate,Regione Umbria,750000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I54J19000080001,054035
EU_1297,OC_109,OC,UMBRIA,PG,Spoleto,I87H19000170001,,Ex ferrovia Spoleto-Norcia: Frane da crollo/scivolamento (II stralcio),Regione Umbria,2000000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I87H19000170001,054051
EU_1298,OC_109,OC,UMBRIA,PG,Cascia,H42J20000110006,,"Via Cavour, 25",ATER Umbria,1072974.55,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H42J20000110006,054007
EU_1299,OC_109,OC,UMBRIA,PG,Cascia,H43B20000170006,,Fraz. Avendita,ATER Umbria,3617725.23,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H43B20000170006,054007
EU_130,OC_109,OC,ABRUZZO,TE,Crognaleto,G43F20000080001,,Ex Edificio scolastico - fraz. San Giorgio di Crognaleto,COMUNE CROGNALETO,268400.11,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G43F20000080001,067023
EU_1300,OC_109,OC,UMBRIA,PG,Cerreto di Spoleto,D74B17000140002,,Via Padre Pietro Pirri,Comune di Cerreto di Spoleto,550760.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D74B17000140002,054010
EU_1301,OC_109,OC,UMBRIA,PG,Cerreto di Spoleto,D79D19000010002,,"Piazza Pontano, 27",Comune di Cerreto di Spoleto,581115.4,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D79D19000010002,054010
EU_1302,OC_109,OC,UMBRIA,PG,Cerreto di Spoleto,D74J20000010002,,Via Padre Pietro Pirri (complesso San Giacomo),Comune di Cerreto di Spoleto,344215.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D74J20000010002,054010
EU_1303,OC_109,OC,UMBRIA,PG,Gualdo Cattaneo,F19E16000010002,,"Via Vittorio Emanuele, 50",Comune di Gualdo Cattaneo,420700.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F19E16000010002,054022
EU_1304,OC_109,OC,UMBRIA,PG,Norcia,H53B20000100006,,"Via dell'Annunziata, 4",ATER Umbria,1437712.65,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H53B20000100006,054035
EU_1305,OC_109,OC,UMBRIA,PG,Norcia,H53B20000110006,,"Via dell'Annunziata, 6",ATER Umbria,1274298.18,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H53B20000110006,054035
EU_1306,OC_109,OC,UMBRIA,PG,Norcia,H53B20000120006,,"Via A. Morelli, 2",ATER Umbria,1488316.94,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H53B20000120006,054035
EU_1310,OC_109,OC,UMBRIA,PG,Preci,H43B20000210006,,"Fraz. Roccanolfi ­ Via della Beccheria, 41",ATER Umbria,332630.25,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H43B20000210006,054043
EU_1311,OC_109,OC,UMBRIA,PG,Preci,H43B20000220006,,"Via Norcia, 25­ 35",ATER Umbria,1291177.53,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H43B20000220006,054043
EU_1312,OC_109,OC,UMBRIA,PG,Preci,H48F20000030006,,"Loc. Faito, 40­44",ATER Umbria,660133.73,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H48F20000030006,054043
EU_1316,OC_109,OC,UMBRIA,PG,Spoleto,B33G20007740002,,Loc. Montebibico,Comune di Spoleto,122787.26,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B33G20007740002,054051
EU_1317,OC_109,OC,UMBRIA,PG,Spoleto,B33B20000220002,,"Via Porta Fuga, 44",Comune di Spoleto,378786.68,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B33B20000220002,054051
EU_1318,OC_109,OC,UMBRIA,PG,Vallo Di Nera,F13I19000190001,,Fraz. Piedipaterno,Comune di Vallo di Nera,450000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F13I19000190001,054058
EU_1319,OC_109,OC,UMBRIA,TR,Ferentillo,F25G17000010002,,"Fraz. Matterella ­ Via della Rocca",Comune di Ferentillo,295500.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F25G17000010002,055012
EU_1321,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F20001270001,,Ex scuola elementare in fraz. Fiugni,Comune di Cagnano Amiterno,355000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F20001270001,066013
EU_1322,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F20001250001,,Ex scuola elementare in fraz. Termine adibito ad edificio polivalente,Comune di Cagnano Amiterno,325000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F20001250001,066013
EU_1323,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F20001210001,,"Locale adibito a palestra località Fossatillo",Comune di Cagnano Amiterno,325000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F20001210001,066013
EU_1324,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F22000970001,,Ambulatorio medico Ex sede comunale via Sallustio,Comune di Cagnano Amiterno,160000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F22000970001,066013
EU_1325,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F20001220001,,Agricampeggio in loc. Cascina - edificio polifunzionale,Comune di Cagnano Amiterno,340000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F20001220001,066013
EU_1326,OC_129,OC,ABRUZZO,AQ,Cagnano Amiterno,H12F20001230001,,Agricampeggio in loc. Cascina - edificio servizi igienici e spogliatoi,Comune di Cagnano Amiterno,220000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12F20001230001,066013
EU_1327,OC_129,OC,ABRUZZO,AQ,Capitignano,G94H22000060001,,Progetto di rigenerazione urbana - sottoservizi - pubblica illuminazione Comune di Capitignano - frazioni Paterno e Collenoveri,COMUNE DI CAPITIGNANO,700000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G94H22000060001,066021
EU_1328,OC_129,OC,ABRUZZO,AQ,Capitignano,G94H22000050001,,Progetto di rigenerazione urbana - sottoservizi - pubblica illuminazione Capitignano capoluogo,COMUNE DI CAPITIGNANO,2000000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G94H22000050001,066021
EU_1329,OC_129,OC,ABRUZZO,PE,Farindola,E27H21003610005,,Magazzino Comunale - Ex Mattatoio,COMUNE DI FARINDOLA,300000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E27H21003610005,068019
EU_1330,OC_129,OC,ABRUZZO,PE,Farindola,E27H21003600005,,Ex forno comunale con annesso magazzino,COMUNE DI FARINDOLA,129000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E27H21003600005,068019
EU_1331,OC_129,OC,ABRUZZO,PE,Lettomanoppello,F31B21002970001,,Impianto Sportivo Collerotondo,Comune di Lettomanoppello,175000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F31B21002970001,068020
EU_1332,OC_129,OC,ABRUZZO,TE,Basciano,C47H21004430001,,"Intervento di messa in sicurezza, ripristino della pavimentazione e rifacimento dei sottoservizi della piazza Vittorio Emanuele, danneggiata dagli eventi sismici del 2016 e dai numerosi lavori di ricostruzione privata in itinere.",COMUNE DI BASCIANO,900000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C47H21004430001,067005
EU_1333,OC_129,OC,ABRUZZO,TE,Campli,E73D22000890002,,Recupero e valorizzazione rete viaria comunale,COMUNE DI CAMPLI,1000000.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E73D22000890002,067008
EU_1335,OC_129,OC,ABRUZZO,TE,Colledara,C86C22000000005,,"Riparazione con miglioramento sismico ed energetico Bocciodromo Comunale sito in Colledara, località Bivio Collecastino",COMUNE DI COLLEDARA,1400000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C86C22000000005,067018
EU_1336,OC_129,OC,ABRUZZO,TE,Corropoli,E22C21001040001,,Attrezzature culturali,COMUNE DI CORROPOLI,80000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E22C21001040001,067021
EU_1338,OC_129,OC,ABRUZZO,TE,Crognaleto,G47H21048400001,,Consolidamento versante di valle e messa in pristino strada comunale del Catagnone,COMUNE DI CROGNALETO,1000000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G47H21048400001,067023
EU_1339,OC_129,OC,ABRUZZO,TE,Fano Adriano,H54G21000010001,,Rigenerazione Urbana sottoservizi reti fognarie e acquedottistiche capoluogo e frazione,Comune di Fano Adriano,1700000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H54G21000010001,067024
EU_1340,OC_129,OC,ABRUZZO,TE,Fano Adriano,H52C21000810001,,Muro contenimento frazione Cerqueto,Comune di Fano Adriano,550000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H52C21000810001,067024
EU_1341,OC_129,OC,ABRUZZO,TE,"Isola del Gran Sasso d'Italia",I72C22001090001,,Ponte carrabile. Via Duca degli Abruzzi,COMUNE DI ISOLA DEL GRAN SASSO,995000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I72C22001090001,067026
EU_1342,OC_129,OC,ABRUZZO,TE,"Isola del Gran Sasso d'Italia",I77E22000000001,,Centro commerciale vecchio,COMUNE DI ISOLA DEL GRAN SASSO,200000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I77E22000000001,067026
EU_1343,OC_129,OC,ABRUZZO,TE,Montorio al Vomano,G96C22000090001,,"Interventi a valere su fondi sisma - PNRR - Riqualificazione e miglioramento sismico delle strutture del Campo Sportivo ''Parrozzani''",COMUNE DI MONTORIO AL VOMANO,1300000.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G96C22000090001,067028
EU_1344,OC_129,OC,ABRUZZO,TE,Montorio al Vomano,G95F18001170001,,Attrezzature sportive. Spogliatoio Campo Sportivo Pigliacelli,COMUNE DI MONTORIO AL VOMANO,118858.0,FA_9 - Collaudo,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G95F18001170001,067028
EU_1345,OC_129,OC,ABRUZZO,TE,Pietracamela,D66J22000120001,,"Riparazione e miglioramento sismico di un edificio da adibire all'esposizione e alla valorizzazione dell'opera pittorica dell'artista Guido Montauti ed altre finalità culturali.",COMUNE DI PIETRACAMELA,300000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D66J22000120001,067034
EU_1346,OC_129,OC,ABRUZZO,TE,Teramo,D45I22000450001,,Polo Museale,COMUNE DI TERAMO,9360000.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D45I22000450001,067041
EU_1347,OC_129,OC,LAZIO,RI,Accumoli,D62F22000310005,,Ripristino strada Comunale Vicenna e messa in sicurezza dissesto fosso della Rocca,Comune di Accumoli,528000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D62F22000310005,057001
EU_1351,OC_129,OC,LAZIO,RI,Accumoli,C64H22000830001,,Rifacimento piazza ex Convento di San Francesco,USR Lazio,3328000.0,FA_1 - Rup nominato e cronoprogramma condiviso,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C64H22000830001,057001
EU_1352,OC_129,OC,LAZIO,RI,Accumoli,D64E21000800005,,Realizzazione nuova piazza frazione Villanova,Comune di Accumoli,640000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D64E21000800005,057001
EU_1353,OC_129,OC,LAZIO,RI,Accumoli,D64E21000720005,,Consolidamento strada Monte Calvario - Grisciano,Comune di Accumoli,448000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D64E21000720005,057001
EU_1354,OC_129,OC,LAZIO,RI,Accumoli,D69J21008780005,,Miglioramento sismico serbatoio Partitore Tino,Comune di Accumoli,72000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D69J21008780005,057001
EU_1355,OC_129,OC,LAZIO,RI,Accumoli,D69J21008710005,,Miglioramento sismico serbatoio Partitore San Giovanni,Comune di Accumoli,60000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D69J21008710005,057001
EU_136,OC_109,OC,ABRUZZO,TE,Martinsicuro,H13I18000160005,,Alloggi ERP- Complesso via dei Castani,COMUNE MARTINSICURO,2372928.91,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H13I18000160005,067047
EU_1363,OC_129,OC,LAZIO,RI,Antrodoco,I87J21000090002,,"Demolizione conservativa e rifunzionalizzazione spazi per realizzazione centro comunità Chiesa S. Maria Assunta di Rocca di Fondi.",Comune di Antrodoco,1176000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I87J21000090002,057003
EU_1364,OC_129,OC,LAZIO,RI,Antrodoco,I81B19000640001,,"Riparazione con adeguamento sismico di muro di sostegno del parcheggio 'Piazza Interocrea' antistante il giardino pubblico in loc. Mantella;",Comune di Antrodoco,246496.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I81B19000640001,057003
EU_1365,OC_129,OC,LAZIO,RI,Antrodoco,I88I21000410001,,"Completamento dell'adeguamento sismico con efficientamento energetico ed adeguamento impiantistico del Palazzetto dello Sport",Comune di Antrodoco,650000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I88I21000410001,057003
EU_1366,OC_129,OC,LAZIO,RI,Borgo Velino,I41E21000020001,,Messa in sicurezza strada Monte Nuria,Comune di Borgo Velino,685038.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I41E21000020001,057008
EU_1367,OC_129,OC,LAZIO,RI,Borgo Velino,I41E22000090001,,Fosso Capriglia Lotto 2,Comune di Borgo Velino,482319.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I41E22000090001,057008
EU_1368,OC_129,OC,LAZIO,RI,Borgo Velino,I49D22000060001,,Rifacimento della linea fognaria in Collerinaldo,Comune di Borgo Velino,960000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I49D22000060001,057008
EU_1369,OC_129,OC,LAZIO,RI,Borgo Velino,I42C21000410001,,Ninfeo dei Flavi,Comune di Borgo Velino,38603.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I42C21000410001,057008
EU_1370,OC_129,OC,LAZIO,RI,Borgo Velino,I41J19000010002,,Centralina idroelettrica ex mulino OOPP_M_001227_2017,Comune di Borgo Velino,295853.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I41J19000010002,057008
EU_1371,OC_129,OC,LAZIO,RI,Borgo Velino,I48E18001400005,,"Cisterne montane interrate a servizio degli abbeveratoi, contraddistinte dalle lettere a, b e c (incremento del finanziamento codice opera oopp_m_001229_2017)",Comune di Borgo Velino,80759.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I48E18001400005,057008
EU_1372,OC_129,OC,LAZIO,RI,Borgo Velino,I44E17000520001,,"Torre Civica o dell'orologio OOPP_M_001224_2017",Comune di Borgo Velino,170649.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I44E17000520001,057008
EU_1373,OC_129,OC,LAZIO,RI,Cantalice,J57H21007210001,,Dissesto idrogeologico: messa in sicurezza strada via I Maggio,Comune di Cantalice,350000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J57H21007210001,057009
EU_1374,OC_129,OC,LAZIO,RI,Cantalice,J57H21007150001,,Dissesto idrogeologico loc. Pagliaccio,Comune di Cantalice,600000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J57H21007150001,057009
EU_1375,OC_129,OC,LAZIO,RI,Cantalice,J57H21007120001,,Dissesto idrogeologico: messa in sicurezza strada via Turati - loc. Pecce,Comune di Cantalice,600000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J57H21007120001,057009
EU_1376,OC_129,OC,LAZIO,RI,Cantalice,J57H21007110001,,Dissesto idrogeologico strada loc. Collemare,Comune di Cantalice,100000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J57H21007110001,057009
EU_1377,OC_129,OC,LAZIO,RI,Cantalice,J51B21002220005,,Adeguamento sismico fontanile via Castello,Comune di Cantalice,100000.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J51B21002220005,057009
EU_1378,OC_129,OC,LAZIO,RI,Cantalice,J58H21000060001,,Dissesto idrogeologico lungo la strada via Lamarmora,Comune di Cantalice,750000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J58H21000060001,057009
EU_1379,OC_129,OC,LAZIO,RI,Cantalice,J53I19000020001,,Casa Famiglia,Comune di Cantalice,834408.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J53I19000020001,057009
EU_1380,OC_129,OC,LAZIO,RI,Cantalice,J56J16000980001,,Torre del Cassero,Comune di Cantalice,1500000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J56J16000980001,057009
EU_1381,OC_129,OC,LAZIO,RI,Cittaducale,H39J22000650001,,Lavori di manutenzione straordinaria della Piscina Comunale sita in Cittaducale capoluogo,Comune di Cittaducale,986500.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H39J22000650001,057016
EU_1382,OC_129,OC,LAZIO,RI,Cittaducale,H35H21000080001,,"Interventi di riqualificazione, valorizzazione e miglioramento dell'accessibilità alle aree poste nelle adiacenze delle mura storiche nei settori nord-occidentale e sud-orientale dell'abitato di Cittaducale",Comune di Cittaducale,2305965.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H35H21000080001,057016
EU_1383,OC_129,OC,LAZIO,RI,Cittareale,I47H21003850002,,"Messa in sicurezza dissesto idrogeologico su via Guidoni, strada comunale di collegamento tra le località Matrecciano e Scanzano",Comune di Cittareale,308858.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003850002,057017
EU_1384,OC_129,OC,LAZIO,RI,Cittareale,I47H21003840002,,"Messa in sicurezza dissesto idrogeologico su strada comunale 'Via Rinaldi - Fraz. Collenasso'",Comune di Cittareale,178758.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003840002,057017
EU_1385,OC_129,OC,LAZIO,RI,Cittareale,I47H21003830002,,Messa in sicurezza dissesto idrogeologico su strada comunale di Santa Giusta,Comune di Cittareale,128940.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003830002,057017
EU_1387,OC_129,OC,LAZIO,RI,Cittareale,I47H21003800002,,"Messa in sicurezza dissesto idrogeologico adiacente l'abitato di Marianitto",Comune di Cittareale,316470.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003800002,057017
EU_1388,OC_129,OC,LAZIO,RI,Cittareale,I47H21003790002,,Messa in sicurezza delle mura medievali di Cittareale,Comune di Cittareale,196423.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003790002,057017
EU_1389,OC_129,OC,LAZIO,RI,Cittareale,I47H21003810002,,"Messa in sicurezza dissesto idrogeologico su strada comunale 'Via Fano - Fraz. Le Rose'",Comune di Cittareale,270528.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I47H21003810002,057017
EU_1391,OC_129,OC,LAZIO,RI,Leonessa,G29D19000120005,,"Strada 'Li Cordoni'",Comune di Leonessa,600000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G29D19000120005,057033
EU_1392,OC_129,OC,LAZIO,RI,Leonessa,G27H21040060001,,"Ripristino di opere d'arte sulle infrastrutture viare dele frazioni del comune di Leonessa",Comune di Leonessa,1000000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G27H21040060001,057033
EU_1393,OC_129,OC,LAZIO,RI,Leonessa,G29D18000070001,,Fontana ornamentale Leonessa,Comune di Leonessa,330000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G29D18000070001,057033
EU_1394,OC_129,OC,LAZIO,RI,Leonessa,G27H17001830005,,"Difesa idraulica da esondazioni - Fosso di Vallorgano in località Campo Stella",Comune di Leonessa,830000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G27H17001830005,057033
EU_1395,OC_129,OC,LAZIO,RI,Leonessa,G26F17000060005,,Ex Scuola Albaneto,Comune di Leonessa,450000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G26F17000060005,057033
EU_1396,OC_129,OC,LAZIO,RI,Micigliano,B62F21000030005,,Consolidamento versante in frana su cui sorge in centro di Micigliano - II stralcio,Comune di Micigliano,5900000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B62F21000030005,057037
EU_1397,OC_129,OC,LAZIO,RI,Poggio Bustone,G22C20000660001,,Messa in Sicurezza Fontanile in Loc. Borgo San Pietro,Comune di Poggio Bustone,57651.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G22C20000660001,057051
EU_1398,OC_129,OC,LAZIO,RI,Poggio Bustone,G22C20000640001,,"Messa in sicurezza e restauro dell''Arco del Buongiorno'",Comune di Poggio Bustone,50000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G22C20000640001,057051
EU_1399,OC_129,OC,LAZIO,RI,Poggio Bustone,G22C20000650001,,Restauro e recupero del Sacro Speco di San Francesco,Comune di Poggio Bustone,360070.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G22C20000650001,057051
EU_1400,OC_129,OC,LAZIO,RI,Poggio Bustone,G27H20003790001,,Messa in sicurezza dissesto idrogeologico via di Mezzo Le Vigne,Comune di Poggio Bustone,966384.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G27H20003790001,057051
EU_1401,OC_129,OC,LAZIO,RI,Poggio Bustone,G27H20003800001,,Messa in sicurezza dissesto idrogeologico via delle Fontanelle,Comune di Poggio Bustone,300000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G27H20003800001,057051
EU_1402,OC_129,OC,LAZIO,RI,Posta,C81B22002320001,,"Messa in sicurezza muro di sostegno in Via G. D'Annunzio",USR Lazio,392215.9,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C81B22002320001,057057
EU_1403,OC_129,OC,LAZIO,RI,Posta,C85I22002210001,,"Edificio Sede VI Comunità Montana del Velino, Archivi comune di Posta e sezione Ares 118",USR Lazio,1334182.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C85I22002210001,057057
EU_1404,OC_129,OC,LAZIO,RI,Rieti,F11B21006900002,,Museo - Biblioteca,Comune di Rieti,7300000.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F11B21006900002,057059
