comune,prov,ocos,ocos_label,eues_id,eues_id_norm,regione,cupxall,codice_usr,denominazione_interventoxall,categoria,importo_programmato_esclusi_oc_126,fase_di_avanzamento_al_30_aprile_2026,cod_istat_comune,ordinanza_attuale,fase_id,fase_label,soggetto_attuatore,cf_piva_soggetto_attuatore
Preci,PG,OS,Opere statali,ES_377,ES_377,UMBRIA,G47H20004850001,,Muro Caserma dei Carabinieri e via Santa Caterina I° STRALCIO,9 - Opere di urbanizzazione e infrastrutture,1950000,FA_3 - Incarico di progettazione affidato,054043,OS_39,FA_3,Incarico di progettazione affidato,COMUNE DI PRECI - PG -,84002730541
Valle Castellana,TE,OS,Opere statali,ES_235,ES_235,ABRUZZO,G94J18000600001,,ERP 482 - fraz. Macchia da Sole,5 - Edilizia residenziale pubblica,388469.25,FA_5 - Progetto esecutivo approvato,067046,OS_7,FA_5,Progetto esecutivo approvato,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Montegallo,AP,OC,Opere comunali,EU_2111,EU_2111,Marche,H79J23000170001,7364,RIPRISTINO E RIPARAZIONE DANNI SISMA STRADA COMUNALE FORCA- SIGNORINA-S.MARIA IN LAPIDE - Progettazione,12 - Solo Progettazione,80000,FA_3 - Incarico di progettazione affidato,044038,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Montegallo,AP,OC,Opere comunali,EU_2121,EU_2121,Marche,H79J23000200001,7374,RIPARAZIONE DANNI SISMA E MESSA IN SICUREZZA STRADA COMUNALE PROPEZZANO-PIANO - Progettazione,12 - Solo Progettazione,40000,FA_2 - Avvio procedure di affidamento contraente per i servizi,044038,OC_137,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Montegallo,AP,OC,Opere comunali,EU_2128,EU_2128,Marche,H79J23000260001,7343,RIPRISTINO E RIPARAZIONE DANNI SISMA STRADA COMUNALE S.M. LAPIDE - LOCALITA' CASONE - Progettazione,12 - Solo Progettazione,96000,FA_4 - Progetto definitivo/PFTE approvato,044038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Borgo Velino,RI,OC,Opere comunali,EU_0400,EU_400,LAZIO,I45H18000570001,P23.0052-0211,Intervento di sistemazione idraulica Fosso San Francesco - versante Monte Nuria,4 - Dissesti,940000,FA_4 - Progetto definitivo/PFTE approvato,057008,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BORGO VELINO - RIETI -,00109190579
Norcia,PG,OS,Opere statali,ES_305,ES_305,UMBRIA,I59J21003360001,,Sottoservizi del nucleo abitato,9 - Opere di urbanizzazione e infrastrutture,14677893.619999999,FA_7 - Inizio Lavori,054035,OS_18,FA_7,Inizio lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE UMBRIA,94162980547
Sant'Anatolia di Narco,PG,OC,Opere comunali,EU_1433,EU_1433,Umbria,I65F21000520005,,Consolidamento mura castellane del Capoluogo,9 - Opere di urbanizzazione e infrastrutture,300000,FA_5 - Progetto esecutivo approvato,054045,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI SANT'ANATOLIA DI NARCO - PG -,00351780549
Isola del Gran Sasso d'Italia,TE,OC,Opere comunali,EU_0057,EU_57,ABRUZZO,I75D19000000002,,Sede Municipale con locali privati al piano terra,8 - Municipi,1393844,FA_3 - Incarico di progettazione affidato,067026,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI ISOLA DEL GRAN SASSO D'ITALIA - TERAMO -,80003790674
Tossicia,TE,OC,Opere comunali,EU_3676,EU_3676,ABRUZZO,I86H22000000001,,FABBRICATO ADIBITO DI EDILIZIA ECONOMICA E POPOLARE,5 - Edilizia residenziale pubblica,700000,FA_1 - Rup nominato e cronoprogramma condiviso,067045,OC_250,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI TOSSICIA - TERAMO -,80000370678
Ussita,MC,OC,Opere comunali,EU_0914,EU_914,MARCHE,C54F20000020002,3844,"Recupero Cabina Elettrica di Trasformazione CM A180 - Cabina ""Sole Neve"" (Lotto 1.B IMPIANTI SCIISTICI)",11 - Altre opere pubbliche,357344.61,FA_9 - Collaudo,043056,OC_109,FA_9,Collaudo,COMUNE DI USSITA - MC -,81001810431
Pieve Torina,MC,OC,Opere comunali,EU_2181,EU_2181,Marche,C55F21002410001,7355,RIPRISTINO MURA DI CAPRIGLIA DANNEGGIATE - Progettazione,12 - Solo Progettazione,144000,FA_4 - Progetto definitivo/PFTE approvato,043038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI PIEVE TORINA - MC -,81000190439
Ussita,MC,OC,Opere comunali,EU_2207,EU_2207,Marche,C53D16000890003,3870,"RECUPERO CON MIGLIORAMENTO E/O ADEGUAMENTO SISMICO DEL ""RIFUGIO PIAN DI PAO"" IN LOC. PIAN DI PAO - Progettazione",12 - Solo Progettazione,24000,FA_0 - Rup non nominato,043056,OC_137,FA_0,Rup non nominato,COMUNE DI USSITA - MC -,81001810431
Fiastra,MC,OC,Opere comunali,EU_2927,EU_2927,Marche,F21C19000090002,4799,Nuova elisuperficie,9 - Opere di urbanizzazione e infrastrutture,137000,FA_9 - Collaudo,043017,OC_48,FA_9,Collaudo,COMUNE DI FIASTRA - MACERATA -,81000250431
Maltignano,AP,OC,Opere comunali,EU_2935,EU_2935,Marche,F55D19000030005,4837,Riqualificazione area urbana (Centro sportivo comunale),9 - Opere di urbanizzazione e infrastrutture,42000,FA_9 - Collaudo,044027,OC_48,FA_9,Collaudo,COMUNE DI MALTIGNANO - AP -,00364960443
Sant'Angelo in Pontano,MC,OC,Opere comunali,EU_2975,EU_2975,Marche,B68E16000000002,610,Nuovo polo scolastico,10 - Scuole,2400000,FA_5 - Progetto esecutivo approvato,043048,OC_48,FA_5,Progetto esecutivo approvato,COMUNE DI SANT'ANGELO IN PONTANO - MACERATA -,83002690432
Accumoli,RI,OC,Opere comunali,EU_2737,EU_2737,LAZIO,D65B18012110005,P23.0126-0001,Sistemazione e messa in funzione dell'area Camper in Loc. Illica,11 - Altre opere pubbliche,150000,FA_4 - Progetto definitivo/PFTE approvato,057001,OC_77,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI ACCUMOLI - RIETI -,00113430573
Pieve Torina,MC,OS,Opere statali,ES_72,ES_72,MARCHE,C57H21004830001,,DISSESTI FLUVIALI - TRATTO 6 AREA PIP,4 - Dissesti,275000,FA_8 - Fine lavori,043038,OS_20,FA_8,Fine lavori,COMUNE DI PIEVE TORINA - MC -,81000190439
Monte San Giusto,MC,OS,Opere statali,ES_864,ES_864,MARCHE,B71B21006890001,,SCUOLA SECONDARIA DI I GRADO L.LOTTO,10 - Scuole,3093527,FA_2 - Avvio procedure di affidamento contraente per i servizi,043031,OS_31,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI MONTE SAN GIUSTO - MACERATA -,00134550433
Giulianova,TE,OS,Opere statali,ES_552,ES_552,ABRUZZO,E61B21003960001,,edificio scolastico - ITI Cerulli di Giulianova,10 - Scuole,15402730,FA_4 - Progetto definitivo/PFTE approvato,067025,OS_31,FA_4,Progetto definitivo/PFTE approvato,AMMINISTRAZIONE PROVINCIALE DI TERAMO,80001070673
Petriolo,MC,OC,Opere comunali,EU_0580,EU_580,MARCHE,G37I19001030001,4114,"Santuario della ""Madonna della Misericordia""",2 - Chiese ed edifici di culto,1361191.23,FA_7 - Inizio lavori,043036,OC_109,FA_7,Inizio lavori,COMUNE DI PETRIOLO - MACERATA. -,00286490438
San Ginesio,MC,OC,Opere comunali,EU_0740,EU_740,MARCHE,G42B20000080001,6428,Nuova sede comunale con funzioni strategiche - adeguamento (1° Stralcio),8 - Municipi,2270000,FA_3 - Incarico di progettazione affidato,043046,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI SAN GINESIO - MC -,00215270430
Preci,PG,OS,Opere statali,ES_366,ES_366,UMBRIA,G44B19000320001,,Cimitero Abeto,3 - Cimiteri,193565.7,FA_4 - Progetto definitivo/PFTE approvato,054043,OS_39,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI PRECI - PG -,84002730541
Montorio al Vomano,TE,OC,Opere comunali,EU_003480,EU_3480,ABRUZZO,G97H23002090001,ID_NR0010,Fornitura e posa in opera di segnaletica stradale orizzontale e verticale,9 - Opere di urbanizzazione e infrastrutture,150000,FA_1 - Rup nominato e cronoprogramma condiviso,067028,OC_120,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI MONTORIO AL VOMANO - TE -,80002070672
Monte Rinaldo,FM,OC,Opere comunali,EU_3147,EU_3147,MARCHE,H32J20000150001,,Manutenzione ordinaria e straordinaria della viabilita’ comunale C.da Aso e Crocefisso,9 - Opere di urbanizzazione e infrastrutture,93359.02,FA_9 - Collaudo,109021,OC_104,FA_9,Collaudo,COMUNE DI MONTE RINALDO - ASCOLI PICENO -,00396470445
Nocera Umbra,PG,OC,Opere comunali,EU_1679,EU_1679,Umbria,H43D17001260001,,Muro Contenimento Piazzale Scuola Elementare Case Basse,9 - Opere di urbanizzazione e infrastrutture,109800,FA_4 - Progetto definitivo/PFTE approvato,054034,OC_129,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI NOCERA UMBRA - PG -,00417870540
Montegallo,AP,OC,Opere comunali,EU_2106,EU_2106,Marche,H79J23000150001,4579,RIPRISTINO E RIPARAZIONE DANNI SISMA MURAGLIONE IN FRAZIONE BALZO - Progettazione,12 - Solo Progettazione,80000,FA_4 - Progetto definitivo/PFTE approvato,044038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Castellalto,TE,OS,Opere statali,ES_542,ES_542,ABRUZZO,I11B19000800005,,SCUOLA INFANZIA CAPOLUOGO,10 - Scuole,1188070,FA_5 - Progetto esecutivo approvato,067011,OS_31,FA_5,Progetto esecutivo approvato,COMUNE DI CASTELLALTO - TE -,80004770675
Servigliano,FM,OC,Opere comunali,EU_2351,EU_2351,Marche,I27B16000400001,2831,RIPARAZIONE DEL DANNO E RAFFORZAMENTO LOCALE DEL CIMITERO MONUMENTALE DEL XVIII SECOLO,3 - Cimiteri,500000,FA_4 - Progetto definitivo/PFTE approvato,109038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI SERVIGLIANO - ASCOLI PICENO -,81002090447
Bolognola,MC,OS,Opere statali,ES_140,ES_140,MARCHE,I87H21003590001,,"Sottoservizi Frazioni Villa da Piedi, Villa di Mezzo, Villa da Capo e dorsale principale acquedotto",9 - Opere di urbanizzazione e infrastrutture,8744092.5,FA_1 - Rup nominato e cronoprogramma condiviso,043005,OS_44,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI BOLOGNOLA - MC -,81000910430
Cingoli,MC,OC,Opere comunali,EU_0864,EU_864,MARCHE,J64F18000460005,1784,CHESA S. MARIA ASSUNTA - CATTEDRALE,2 - Chiese ed edifici di culto,690000,FA_8 - Fine lavori,043012,OC_109,FA_8,Fine lavori,COMUNE DI CINGOLI - MC -,00129810438
Valle Castellana,TE,OC,Opere comunali,EU_1586,EU_1586,Abruzzo,J92F21000130001,,Ristrutturazione Cimitero Loc. Pietralta,3 - Cimiteri,70000,FA_5 - Progetto esecutivo approvato,067046,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI VALLE CASTELLANA - TERAMO -,80006060679
Farindola,PE,OC,Opere comunali,EU_1329,EU_1329,Abruzzo,E27H21003610005,,Magazzino Comunale - Ex Mattatoio,11 - Altre opere pubbliche,300000,FA_3 - Incarico di progettazione affidato,068019,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI FARINDOLA - PESCARA -,00231350687
Teramo,TE,OC,Opere comunali,EU_1554,EU_1554,Abruzzo,D45I22000470001,,Risanamento e recupero funzionale del Cimitero di Forcella,3 - Cimiteri,100000,FA_7 - Inizio lavori,067041,OC_129,FA_7,Inizio lavori,COMUNE DI TERAMO - TE -,00174750679
Pianella,PE,OC,Opere comunali,EU_3682,EU_3682,ABRUZZO,B45E25000370001,,scuola primaria capoluogo,10 - Scuole,1100000,FA_1 - Rup nominato e cronoprogramma condiviso,068030,OC_250,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI PIANELLA - PESCARA -,00225910686
Civitella del Tronto,TE,OC,Opere comunali,EU_002673,EU_2673,ABRUZZO,B76F23000060005,ID_NR0002,Messa in sicurezza di un muro di contenimento in località Piano Risteccio,9 - Opere di urbanizzazione e infrastrutture,66710.86,FA_0 - Rup non nominato,067017,OC_120,FA_0,Rup non nominato,COMUNE DI CIVITELLA DEL TRONTO - TE -,00467160677
Rocca Santa Maria,TE,OC,Opere comunali,EU_002609,EU_2609,ABRUZZO,E57H21000240001,ID_N00226,SS.PP. n. 48 del Bosco Martese e n. 49/D di Morrice - Lotto 1 - ricostruzione dei sistemi di regimentazione delle acque di piattaforma e la sezione stradale nei tratti più danneggiati,9 - Opere di urbanizzazione e infrastrutture,1500000,FA_7 - Inizio lavori,067036,OC_120,FA_7,Inizio lavori,AMMINISTRAZIONE PROVINCIALE DI TERAMO,80001070673
Teramo,TE,,,xx,,ABRUZZO,E77H25001690001,ID_NR0022_bis,SP 53 Lotto 2,9 - Opere di urbanizzazione e infrastrutture,450000,FA_1 - Rup nominato e cronoprogramma condiviso,067041,OC_120,FA_1,Rup nominato e cronoprogramma condiviso,AMMINISTRAZIONE PROVINCIALE DI TERAMO,80001070673
Pieve Torina,MC,OS,Opere statali,ES_68,ES_68,MARCHE,C57H21000960001,,DISSESTI FLUVIALI - TRATTO 2 LA ROCCA - 1° STRALCIO,4 - Dissesti,1580000,FA_7 - Inizio lavori,043038,OS_20,FA_7,Inizio lavori,COMUNE DI PIEVE TORINA - MC -,81000190439
Sant'Elpidio a Mare,FM,OS,Opere statali,ES_874,ES_874,MARCHE,C12C21002300001,,"ISTITUTO PROFESSIONALE PER IL COMMERCIO ""E. TARANTELLI""",10 - Scuole,1258400,FA_4 - Progetto definitivo/PFTE approvato,109037,OS_31,FA_4,Progetto definitivo/PFTE approvato,AMMINISTRAZIONE PROVINCIALE DI FERMO,90038780442
Crognaleto,TE,OC,Opere comunali,EU_002670,EU_2670,ABRUZZO,G42F22000400005,ID_N00083,SARCITURA LESIONI LAVATOIO COMUNALE,6 - Edilizia sanitaria,20000,FA_9 - Collaudo,067023,OC_120,FA_9,Collaudo,COMUNE DI CROGNALETO - TERAMO -,80004590677
Appignano del Tronto,AP,OC,Opere comunali,EU_0519,EU_519,MARCHE,H11I18000380001,3606,Palazzo municipale,8 - Municipi,1300000,FA_3 - Incarico di progettazione affidato,044005,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI APPIGNANO DEL TRONTO - ASCOLI PICENO -,00363500448
Cagnano Amiterno,AQ,OC,Opere comunali,EU_1323,EU_1323,Abruzzo,H12F20001210001,,Locale adibito a palestra località Fossatillo,11 - Altre opere pubbliche,325000,FA_3 - Incarico di progettazione affidato,066013,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI CAGNANO AMITERNO - L'AQUILA -,80003670660
Borbona,RI,OC,Opere comunali,EU_0218,EU_218,LAZIO,H21B20000290001,P23.0052-0033,Opere di presidio Via Venditto,4 - Dissesti,473082.78,FA_4 - Progetto definitivo/PFTE approvato,057006,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BORBONA - RI -,00113410575
Gagliole,MC,OC,Opere comunali,EU_0458,EU_458,MARCHE,H58E18000340001,4458,VIA BOTTACCHIARI 10,5 - Edilizia residenziale pubblica,285500,FA_8 - Fine lavori,043020,OC_109,FA_8,Fine lavori,COMUNE DI GAGLIOLE - MACERATA -,00268590437
Roccafluvione,AP,OC,Opere comunali,EU_1945,EU_1945,Marche,H67H22001620001,7434,INTERVENTI DI RIPARAZIONE POST-SISMA SEDE STRADALE E RIPE LATERALI STRADA FURCOLA-CERQUETO-PEDARA,9 - Opere di urbanizzazione e infrastrutture,96000,FA_4 - Progetto definitivo/PFTE approvato,044064,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447
Bevagna,PG,OC,Opere comunali,EU_1165,EU_1165,UMBRIA,I14F17000250005,,Chiesa di San Filippo - edificio Chiesa ed Edificio Oratorio e Sagrestia,2 - Chiese ed edifici di culto,1480000,FA_7 - Inizio Lavori,054004,OC_109,FA_7,Inizio lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE UMBRIA,94162980547
Bucchianico,CH,OC,Opere comunali,EU_1491,EU_1491,Abruzzo,I25H21000180001,,Lavori di riparazione restauro e consolidamento Chiesa della Madonna dell'assunta,2 - Chiese ed edifici di culto,1100000,FA_7 - Inizio lavori,069008,OC_129,FA_7,Inizio lavori,COMUNE DI BUCCHIANICO - CH -,00251860698
Treia,MC,OS,Opere statali,ES_151,ES_151,MARCHE,I35F21002830002,,Recupero e consolidamento di tre tratti delle antiche mura di cinta castellane adiacenti all’ex convento di San Francesco,11 - Altre opere pubbliche,700000,FA_5 - Progetto esecutivo approvato,043054,OS_83,FA_5,Progetto esecutivo approvato,COMUNE DI TREIA - MC -,00138790431
Sant'Anatolia di Narco,PG,OC,Opere comunali,EU_1255,EU_1255,UMBRIA,I67H20002450001,,Frana su strada comunale San Martino,4 - Dissesti,360000,FA_9 - Collaudo,054045,OC_109,FA_9,Collaudo,COMUNE DI SANT'ANATOLIA DI NARCO - PG -,00351780549
Montereale,AQ,OS,Opere statali,ES_554,ES_554,ABRUZZO,I81B20001370001,,SCUOLA MATERNA DON MILANI - MARANA,10 - Scuole,1700000,FA_5 - Progetto esecutivo approvato,066056,OS_31,FA_5,Progetto esecutivo approvato,COMUNE DI MONTEREALE - L'AQUILA -,00096510664
Montereale,AQ,OS,Opere statali,ES_702,ES_702,ABRUZZO,I83C23000750001,,Ripristino struttura comunale,11 - Altre opere pubbliche,601953,FA_3 - Incarico di progettazione affidato,066056,OS_51,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEREALE - L'AQUILA -,00096510664
Todi,PG,OC,Opere comunali,EU_1710,EU_1710,Umbria,J43D21004200005,,Chiesa Cimitero di Duesanti-Petroro,3 - Cimiteri,119974,FA_4 - Progetto definitivo/PFTE approvato,054052,OC_129,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI TODI - PG -,00316740547
Castelsantangelo sul Nera,MC,OS,Opere statali,ES_19,ES_19,MARCHE,F41B21006140005,,"Realizzazione Opere di Urbanizzazione - Nocelleto - stralcio progettuale Cai-Bartolo interferente con la ricostruzione privata “Aggregati obbligatori NC.ar.07, NC.ar.08 e NC.ae.35”",9 - Opere di urbanizzazione e infrastrutture,1383230.04,FA_4 - Progetto definitivo/PFTE approvato,043010,OS_14,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CASTELSANTANGELO SUL NERA - MACERATA -,00242630432
Castelraimondo,MC,OC,Opere comunali,EU_2473,EU_2473,Marche,F38I21001040002,7661,ADEGUAMENTO E RECUPERO PALAZZO EX CARTIERE,11 - Altre opere pubbliche,1900000,FA_3 - Incarico di progettazione affidato,043009,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI CASTELRAIMONDO - MC -,00116600438
Ussita,MC,OS,Opere statali,ES_32,ES_32,MARCHE,C53D21001300001,,Recupero e restauro del Cimitero monumentale di Castelmurato in Castelfantellino e consolidamento versante - Fase 2 Progettazione e Fase 3 Lavori di Recupero,3 - Cimiteri,13159579.560000001,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043056,OS_16,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI USSITA - MC -,81001810431
Castel Sant'Angelo,RI,OC,Opere comunali,EU_1630,EU_1630,Lazio,G27H21000400001,P23.0047-0106,Lavori ed assistenza per la sostituzione della turbina della 'centrale idroelettrica comunale' e di implementazione elettromeccanica dell'impianto idroelettrico di Canetra,11 - Altre opere pubbliche,550000,FA_5 - Progetto esecutivo approvato,057015,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI CASTEL SANT'ANGELO - RIETI -,00109350579
Sant'Angelo in Pontano,MC,OS,Opere statali,ES_xxx,,MARCHE,B68E16000000002,,POLO SCOLASTICO (INCREMENTO SU CONTRIBUTO DA OCSR N.48/20218),10 - Scuole,6200000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043048,OS_31,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI SANT'ANGELO IN PONTANO - MACERATA -,83002690432
Accumoli,RI,OC,Opere comunali,EU_2738,EU_2738,LAZIO,D65B18012110005,P23.0126-0001,Sistemazione e messa in funzione dell'area Camper in Loc. Grisciano,11 - Altre opere pubbliche,125000,FA_4 - Progetto definitivo/PFTE approvato,057001,OC_77,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI ACCUMOLI - RIETI -,00113430573
Monte Rinaldo,FM,OC,Opere comunali,EU_3148,EU_3148,MARCHE,H32J20000150001,,Lavori di manutenzione ordinaria e messa in sicurezza vecchi depositi dei mezzi di protezione civile e progettazione definitiva-esecutiva della nuova sede del gruppo dei volontari di protezione civile comunale,11 - Altre opere pubbliche,52310.98,FA_9 - Collaudo,109021,OC_104,FA_9,Collaudo,COMUNE DI MONTE RINALDO - ASCOLI PICENO -,00396470445
Castelsantangelo sul Nera,MC,OS,Opere statali,ES_20,ES_20,MARCHE,F41B21006140005,,Realizzazione Opere di Urbanizzazione - Nocelleto - stralcio progettuale Villa Franca interferente con la ricostruzione privata “Aggregato obbligatorio NO.ar.06”,9 - Opere di urbanizzazione e infrastrutture,657938.16,FA_4 - Progetto definitivo/PFTE approvato,043010,OS_14,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CASTELSANTANGELO SUL NERA - MACERATA -,00242630432
Monte Rinaldo,FM,OC,Opere comunali,EU_3149,EU_3149,MARCHE,H32J20000150001,,Acquisto nuova macchina operatrice di protezione civile (al netto della permuta con l’attuale in possesso del comune),11 - Altre opere pubbliche,54330,FA_9 - Collaudo,109021,OC_104,FA_9,Collaudo,COMUNE DI MONTE RINALDO - ASCOLI PICENO -,00396470445
Castel Castagna,TE,OC,Opere comunali,EU_002584,EU_2584,ABRUZZO,G92D22000060001,ID_N00028,OSTELLO DELLA GIOVENTU’: ripristino del manto di copertura con integrazione e sostituzione di tegole danneggiate; sostituzione dei canali di gronda divelti.,6 - Edilizia sanitaria,7000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,067010,OC_120,FA_6,Avvio procedure per l'aggiudicazione dei lavori,,
Ascoli Piceno,AP,OS,Opere statali,ES_823,ES_823,MARCHE,C31B2100608000,,ASILO NIDO LO SCARABOCCHIO,10 - Scuole,1050000,FA_3 - Incarico di progettazione affidato,044007,OS_31,FA_3,Incarico di progettazione affidato,,
Teramo,TE,OS,Opere statali,ES_577,ES_577,ABRUZZO,D41B21002790001,,"Scuola Primaria ""Nepezzano""",10 - Scuole,769785,FA_2 - Avvio procedure di affidamento contraente per i servizi,067041,OS_31,FA_2,Avvio procedure di affidamento contraente per i servizi,,
Penne,PE,OS,Opere statali,ES_755,ES_755,ABRUZZO,C19F17000010002,,"I.T.C.G. ""G. Marconi"" - Palazzo De Sterlich",10 - Scuole,2100000,FA_4 - Progetto definitivo/PFTE approvato,068027,OS_31,FA_4,Progetto definitivo/PFTE approvato,,
Falerone,FM,OC,Opere comunali,EU_3142,EU_3142,MARCHE,G57H20000780005,,Lavori di sistemazione di tratti di strade comunali danneggiati dal sisma e dai recenti eventi atmosferici,9 - Opere di urbanizzazione e infrastrutture,200000,FA_9 - Collaudo,109005,OC_104,FA_9,Collaudo,,
Venarotta,AP,OC,Opere comunali,EU_0712,EU_712,MARCHE,C62B20000120001,787,SEDE MUNICIPALE - FARMACIA - CROCE VERDE,8 - Municipi,4225953.5999999996,FA_2 - Avvio procedure di affidamento contraente per i servizi,044073,OC_109,FA_2,Avvio procedure di affidamento contraente per i servizi,,
Montalto delle Marche,AP,OC,Opere comunali,EU_2940,EU_2940,Marche,C17H18000880005,4838,Arredi Casa di riposo/residenza protetta,7 - Edilizia socio sanitaria,42000,FA_9 - Collaudo,044032,OC_48,FA_9,Collaudo,,
Montalto delle Marche,AP,OC,Opere comunali,EU_2941,EU_2941,Marche,C16J17000010001,482,Scuola primaria,10 - Scuole,750000,FA_7 - Inizio lavori,044032,OC_48,FA_7,Inizio lavori,,
Perugia,PG,OC,Opere comunali,EU_1688,EU_1688,Umbria,C92C21001490001,,Ponte di Ponte Valleceppi,9 - Opere di urbanizzazione e infrastrutture,2700000,FA_3 - Incarico di progettazione affidato,054039,OC_129,FA_3,Incarico di progettazione affidato,,
Borgo Velino,RI,OC,Opere comunali,EU_3446,EU_3446,LAZIO,I45E18000210005,P23.0052-0181,Cisterne montane interrate a servizio degli abbeveratoi + Abbeveratoi montani,11 - Altre opere pubbliche,46406.8,FA_7 - Inizio Lavori,057008,OC_109,FA_7,Inizio lavori,,
Ussita,MC,OS,Opere statali,ES_77,ES_77,MARCHE,B57H21003110001 - B57H21003120001,6681,5° LOTTO - INTERVENTI IDRAULICI TRATTO VISSO - USSITA CAPOVALLAZZA - 6° LOTTO - INTERVENTI IDRAULICI A MONTE DI USSITA E FOSSI MINORI - OPERE MITIGAZIONE RISCHIO IDROGEOLOGICO-VALRUSCIO,4 - Dissesti,14221463,FA_4 - Progetto definitivo/PFTE approvato,043056,OS_23,FA_4,Progetto definitivo/PFTE approvato,,
Montalto delle Marche,AP,OS,Opere statali,ES_924,ES_924,MARCHE,C16J17000010001,5362,SCUOLA D'INFANZIA E PRIMARIA - COFINANZIAMENTO ALL'INTERVENTO INSERITO NELL'O.C.S.R.n.48/2018 - ID 482,10 - Scuole,1221358.04,FA_7 - Inizio lavori,044032,OS_31,FA_7,Inizio lavori,,
Montalto delle Marche,AP,OS,Opere statali,ES_XXX,,MARCHE,C16J17000010001,482,EX SCUOLA PRIMARIA - DOPO IL SISMA SCUOLA DELL'INFANZIA E ASILO NIDO,10 - Scuole,750000,FA_7 - Inizio Lavori,044032,OS_31,FA_7,Inizio lavori,,
Campotosto,AQ,OS,Opere statali,ES_676,ES_676,ABRUZZO,B46J23000160001,,Capoluogo - Ripristino sorgenti e serbatoi della rete idrica,9 - Opere di urbanizzazione e infrastrutture,390000,FA_2 - Avvio procedure di affidamento contraente per i servizi,066016,OS_50,FA_2,Avvio procedure di affidamento contraente per i servizi,,
Teramo,TE,OS,Opere statali,ES_766,ES_766,ABRUZZO,B41B21006620001,,Edificio sede della Scuola infanzia Gemma Marconi,10 - Scuole,877500,FA_7 - Inizio lavori,067041,OS_31,FA_7,Inizio lavori,,
Gagliole,MC,OC,Opere comunali,EU_3193,EU_3193,MARCHE,H51B21002490001,,Realizzazione di lavori per la messa in sicurezza della strada vicinale delle Macchie,9 - Opere di urbanizzazione e infrastrutture,200000,FA_7 - Inizio Lavori,043020,OC_104,FA_7,Inizio lavori,,
Crognaleto,TE,OC,Opere comunali,EU_3502,EU_3502,ABRUZZO,,,Opere di straordinaria manutenzione per il completamento della Zona Artigianale in F.ne Nerito del Comune di Crognaleto,11 - Altre opere pubbliche,71765.52,FA_9 - Collaudo,067023,OC_104,FA_9,Collaudo,,
Crognaleto,TE,OC,Opere comunali,EU_3503,EU_3503,ABRUZZO,,,Fornitura di pesa pubblica comunale da posare presso l’area antistante la Zona per attività produttive artigianali e di servizio in F.ne Nerito,11 - Altre opere pubbliche,26844.15,FA_9 - Collaudo,067023,OC_104,FA_9,Collaudo,,
