cf_piva_soggetto_attuatore,cod_ipa,denominazione_ipa,pec,fonte_ipa
80003070671,cmdl,Comunita' Montana della Laga,ufficiotecnico@cert.cmlaga.it,portale IPA
80003250687,c_d201,Comune di Cugnoli,segreteria@pec.comune.cugnoli.pe.it;ragioneria@pec.comune.cugnoli.pe.it;tecnico@pec.comune.cugnoli.pe.it,domicili digitali
80003670660,c_b358,Comune di Cagnano Amiterno,segreteria@pec.comune.cagnanoamiterno.aq.it,domicili digitali
80003750447,c_c331,Comune di Castorano,ufficioragioneria@pec.comune.castorano.ap.it;protocollo@pec.comune.castorano.ap.it,domicili digitali
80003790674,c_e343,Comune di Isola del Gran Sasso,protocollo@pec.comune.isola.te.it,domicili digitali
80003910439,c_f482,Comune di Montecosaro,comune.montecosaro@emarche.it,domicili digitali
80004210565,c_a857,Comune di Blera,uffici@pec.comuneblera.it,domicili digitali
80004250447,c_h390,Comune di Roccafluvione,comune.roccafluvione@emarche.it,domicili digitali
80004310449,c_l728,Comune di Venarotta,comune.venarotta@emarche.it,domicili digitali
80004350676,c_d076,Comune di Cortino,protocollogenerale@pec.comune.cortino.te.it,domicili digitali
80004590677,c_d179,Comune di Crognaleto,responsabilesegreteriacrognaleto@postecert.it,domicili digitali
80004630671,c_c311,Comune di Colledara,suap@pec.comune.colledara.te.it;postacert@pec.comune.colledara.te.it,domicili digitali
80004770675,c_c128,Comune di Castellalto,castellalto.segreteria@raccomandatacertificata.it,domicili digitali
80004810679,c_b640,Comune di Canzano,protocollo@pec.comune.canzano.te.it,domicili digitali
80005210671,c_g437,Comune di Penna Sant'Andrea,postacert@pec.comune.pennasantandrea.te.it,domicili digitali
80005250677,c_g608,Comune di Pietracamela,postacert@pec.comune.pietracamela.te.it,domicili digitali
80005310554,c_a045,Comune di Acquasparta,suap.comune.acquasparta@postacert.umbria.it;comune.acquasparta@postacert.umbria.it,domicili digitali
80005330420,c_d597,Comune di Filottrano,comune.filottrano@emarche.it,domicili digitali
80005430444,ctgct,Co.Tu.Ge. Consorzio Turistico del Comprensorio Dei Monti Gemelli,cotuge@pec.it,domicili digitali
80005510674,c_h440,Comune di Rocca Santa Maria,roccasm@pec.it,domicili digitali
80005970670,c_b515,Comune di Campli,postacert@pec.comune.campli.te.it,domicili digitali
80006060679,c_l597,Comune di Valle Castellana,postacert@pec.comune.vallecastellana.te.it,domicili digitali
80006810677,c_c040,Comune di Castel Castagna,protocollo@pec.comune.castelcastagna.te.it,domicili digitali
80007080668,c_g726,Comune di Pizzoli,protocollo@pec.comune.pizzoli.aq.it,domicili digitali
80008630420,r_marche,Regione Marche,regione.marche.protocollogiunta@emarche.it,domicili digitali
80013770682,c_a120,Comune di Alanno,comune.alanno@pec.it,domicili digitali
80143490581,r_lazio,Regione Lazio,protocollo@pec.regione.lazio.it;protocollocrl@cert.consreglazio.it,domicili digitali
80208450587,as,Anas Spa,anas@postacert.stradeanas.it;divprotocolloanac@postacert.stradeanas.it;soc.to@postacert.stradeanas.it;beautycontest@postacert.stradeanas.it;anas.aosta@postacert.stradeanas.it;anas.friuliveneziagiulia@postacert.stradeanas.it;relazioni.affidamenti@postacert.stradeanas.it;anas.veneto@postacert.stradeanas.it;anas.cssc@postacert.stradeanas.it;anas.piemonte@postacert.stradeanas.it;dls.crcta@postacert.stradeanas.it;mi-garecontr@postacert.stradeanas.it;anas.campania@postacert.stradeanas.it;anas.liguria@postacert.stradeanas.it;anas.lombardia@postacert.stradeanas.it;amministrazione.lazio@postacert.stradeanas.it;anas.marche@postacert.stradeanas.it;dict_affidamenti@postacert.stradeanas.it;anas.toscana@postacert.stradeanas.it;anas.puglia@postacert.stradeanas.it;servizioclienti@postacert.stradeanas.it;collegioconsultivotecnico@postacert.stradeanas.it;anas.molise@postacert.stradeanas.it;appalti.lavori@postacert.stradeanas.it;anas.lazio@postacert.stradeanas.it;normativa.appalti@postacert.stradeanas.it;anas.sardegna@postacert.stradeanas.it;anas.emiliaromagna@postacert.stradeanas.it;anas.a2@postacert.stradeanas.it;anas.autostradea24a25@postacert.stradeanas.it;anas.sicilia@postacert.stradeanas.it;anas.umbria@postacert.stradeanas.it;acquisti@postacert.stradeanas.it;tutelaaziendale@postacert.stradeanas.it;bo-garecontr@postacert.stradeanas.it;anas.calabria@postacert.stradeanas.it;prod_sife@postacert.stradeanas.it;to-garecontr@postacert.stradeanas.it;anas.basilicata@postacert.stradeanas.it;rm-garecontr@postacert.stradeanas.it;anas.abruzzo@postacert.stradeanas.it,portale IPA
80415740580,m_ef,Ministero dell'Economia e delle Finanze,dipartimento.economia@pec.mef.gov.it;corte.tributaria.bz.1grado@pce.finanze.it;corte.tributaria.AG@pce.finanze.it;corte.tributaria.BN@pce.finanze.it;corte.tributaria.CR@pce.finanze.it;corte.tributaria.GE@pce.finanze.it;corte.tributaria.GR@pce.finanze.it;corte.tributaria.IS@pce.finanze.it;corte.tributaria.lombardia@pce.finanze.it;corte.tributaria.PD@pce.finanze.it;corte.tributaria.RA@pce.finanze.it;corte.tributaria.TS@pce.finanze.it;corte.tributaria.TV@pce.finanze.it;corte.tributaria.VV@pce.finanze.it;rts-aq.rgs@pec.mef.gov.it;rts-ar.rgs@pec.mef.gov.it;rts-bg.rgs@pec.mef.gov.it;rts-ce.rgs@pec.mef.gov.it;rts-im.rgs@pec.mef.gov.it;rts-le.rgs@pec.mef.gov.it;rts-pc.rgs@pec.mef.gov.it;rts-sa.rgs@pec.mef.gov.it;rts-ve.rgs@pec.mef.gov.it;rts-vt.rgs@pec.mef.gov.it;ucb-affariesteri.rgs@pec.mef.gov.it;rgs.ucb.mt.gedoc@pec.mef.gov.it;dipartimento.tesoro@pec.mef.gov.it;ufficiodigabinetto@pec.mef.gov.it;corte.tributaria.bz.2grado@pce.finanze.it;corte.tributaria.AQ@pce.finanze.it;corte.tributaria.BA@pce.finanze.it;corte.tributaria.BI@pce.finanze.it;corte.tributaria.CA@pce.finanze.it;corte.tributaria.calabria@pce.finanze.it;corte.tributaria.CL@pce.finanze.it;corte.tributaria.CN@pce.finanze.it;corte.tributaria.CO@pce.finanze.it;corte.tributaria.LI@pce.finanze.it;corte.tributaria.PA@pce.finanze.it;corte.tributaria.PV@pce.finanze.it;corte.tributaria.RI@pce.finanze.it;corte.tributaria.RN@pce.finanze.it;corte.tributaria.TP@pce.finanze.it;corte.tributaria.VA@pce.finanze.it;corte.tributaria.VT@pce.finanze.it;dgt.direzionegenerale@pec.mef.gov.it;rts-ca.rgs@pec.mef.gov.it;rts-ch.rgs@pec.mef.gov.it;rts-cz.rgs@pec.mef.gov.it;rts-li.rgs@pec.mef.gov.it;rts-mi.rgs@pec.mef.gov.it;rts-mt.rgs@pec.mef.gov.it;rts-pg.rgs@pec.mef.gov.it;rts-pi.rgs@pec.mef.gov.it;rts-pt.rgs@pec.mef.gov.it;rts-ro.rgs@pec.mef.gov.it;rts-ta.rgs@pec.mef.gov.it;rts-ts.rgs@pec.mef.gov.it;rgs.ucb-lavoro.gedoc@pec.mef.gov.it;corte.tributaria.tn.1grado@pce.finanze.it;corte.tributaria.AN@pce.finanze.it;corte.tributaria.basilicata@pce.finanze.it;corte.tributaria.BS@pce.finanze.it;corte.tributaria.campania@pce.finanze.it;corte.tributaria.FC@pce.finanze.it;corte.tributaria.IM@pce.finanze.it;corte.tributaria.KR@pce.finanze.it;corte.tributaria.ME@pce.finanze.it;corte.tributaria.MN@pce.finanze.it;corte.tributaria.piemonte@pce.finanze.it;corte.tributaria.PN@pce.finanze.it;corte.tributaria.puglia@pce.finanze.it;corte.tributaria.SA@pce.finanze.it;corte.tributaria.SO@pce.finanze.it;corte.tributaria.TA@pce.finanze.it;corte.tributaria.TR@pce.finanze.it;corte.tributaria.VB@pce.finanze.it;corte.tributaria.VC@pce.finanze.it;corte.tributaria.veneto@pce.finanze.it;corte.tributaria.VR@pce.finanze.it;rts-ao.rgs@pec.mef.gov.it;rts-at.rgs@pec.mef.gov.it;rts-ba.rgs@pec.mef.gov.it;rts-bn.rgs@pec.mef.gov.it;rts-cr.rgs@pec.mef.gov.it;rts-fe.rgs@pec.mef.gov.it;rts-fi.rgs@pec.mef.gov.it;rts-lu.rgs@pec.mef.gov.it;rts-ra.rgs@pec.mef.gov.it;rts-so.rgs@pec.mef.gov.it;rts-sv.rgs@pec.mef.gov.it;rts-tv.rgs@pec.mef.gov.it;rts-vc.rgs@pec.mef.gov.it;rgs.ucb-interno.gedoc@pec.mef.gov.it;ucb-infrastrutture.gedoc.rgs@pec.mef.gov.it;corte.tributaria.AP@pce.finanze.it;corte.tributaria.BG@pce.finanze.it;corte.tributaria.BL@pce.finanze.it;corte.tributaria.CH@pce.finanze.it;corte.tributaria.FG@pce.finanze.it;corte.tributaria.LO@pce.finanze.it;corte.tributaria.LT@pce.finanze.it;corte.tributaria.MS@pce.finanze.it;corte.tributaria.NU@pce.finanze.it;corte.tributaria.PG@pce.finanze.it;corte.tributaria.UD@pce.finanze.it;corte.tributaria.valledaosta@pce.finanze.it;UfficioSegreteriaCPGT@pce.finanze.it;rts-ag.rgs@pec.mef.gov.it;rts-an.rgs@pec.mef.gov.it;rts-ap.rgs@pec.mef.gov.it;rts-bl.rgs@pec.mef.gov.it;rts-bo.rgs@pec.mef.gov.it;rts-bs.rgs@pec.mef.gov.it;rts-cn.rgs@pec.mef.gov.it;rts-co.rgs@pec.mef.gov.it;rts-fr.rgs@pec.mef.gov.it;rts-no.rgs@pec.mef.gov.it;rts-nu.rgs@pec.mef.gov.it;rts-pe.rgs@pec.mef.gov.it;rts-pr.rgs@pec.mef.gov.it;rts-pu.rgs@pec.mef.gov.it;rts-rc.rgs@pec.mef.gov.it;rts-re.rgs@pec.mef.gov.it;rts-ri.rgs@pec.mef.gov.it;rts-sr.rgs@pec.mef.gov.it;rts-tn.rgs@pec.mef.gov.it;rgs.ucb.mbac.gedoc@pec.mef.gov.it;ucb-mimit.gedoc.rgs@pec.mef.gov.it;dag@pec.mef.gov.it;mef@pec.mef.gov.it;DCST.DAG@PEC.MEF.GOV.IT;corte.tributaria.AL@pce.finanze.it;corte.tributaria.CZ@pce.finanze.it;corte.tributaria.EN@pce.finanze.it;corte.tributaria.FE@pce.finanze.it;corte.tributaria.liguria@pce.finanze.it;corte.tributaria.marche@pce.finanze.it;corte.tributaria.MI@pce.finanze.it;corte.tributaria.MO@pce.finanze.it;corte.tributaria.NA@pce.finanze.it;corte.tributaria.PR@pce.finanze.it;corte.tributaria.PT@pce.finanze.it;corte.tributaria.RG@pce.finanze.it;corte.tributaria.RM@pce.finanze.it;corte.tributaria.toscana@pce.finanze.it;df.udg@pce.finanze.it;rts-bz.rgs@pec.mef.gov.it;rts-cl.rgs@pec.mef.gov.it;rts-cs.rgs@pec.mef.gov.it;rts-ct.rgs@pec.mef.gov.it;rts-gr.rgs@pec.mef.gov.it;rts-mc.rgs@pec.mef.gov.it;rts-mn.rgs@pec.mef.gov.it;rts-pz.rgs@pec.mef.gov.it;rts-sp.rgs@pec.mef.gov.it;rts-te.rgs@pec.mef.gov.it;rts-tp.rgs@pec.mef.gov.it;UCB-POLITICHEAGRICOLE.GEDOC.RGS@PEC.MEF.GOV.IT;rgs.ucb-ambiente.gedoc@pec.mef.gov.it;rgs.ragionieregenerale.coordinamento@pec.mef.gov.it;corte.tributaria.tn.2grado@pce.finanze.it;corte.tributaria.AV@pce.finanze.it;corte.tributaria.emiliaromagna@pce.finanze.it;corte.tributaria.GO@pce.finanze.it;corte.tributaria.LC@pce.finanze.it;corte.tributaria.molise@pce.finanze.it;corte.tributaria.PE@pce.finanze.it;corte.tributaria.PI@pce.finanze.it;corte.tributaria.PU@pce.finanze.it;corte.tributaria.PZ@pce.finanze.it;corte.tributaria.sicilia@pce.finanze.it;corte.tributaria.SR@pce.finanze.it;corte.tributaria.SV@pce.finanze.it;corte.tributaria.umbria@pce.finanze.it;corte.tributaria.VE@pce.finanze.it;corte.tributaria.VI@pce.finanze.it;rts-al.rgs@pec.mef.gov.it;rts-ge.rgs@pec.mef.gov.it;rts-is.rgs@pec.mef.gov.it;rts-mo.rgs@pec.mef.gov.it;rts-na.rgs@pec.mef.gov.it;rts-pa.rgs@pec.mef.gov.it;rts-pd.rgs@pec.mef.gov.it;rts-pn.rgs@pec.mef.gov.it;rts-pv.rgs@pec.mef.gov.it;rts-rg.rgs@pec.mef.gov.it;rts-rm.rgs@pec.mef.gov.it;rts-ud.rgs@pec.mef.gov.it;rgs.ucb.mae@pec.mef.gov.it;corte.tributaria.AR@pce.finanze.it;corte.tributaria.BO@pce.finanze.it;corte.tributaria.BR@PCE.FINANZE.IT;corte.tributaria.CT@pce.finanze.it;corte.tributaria.friuliveneziagiulia@pce.finanze.it;corte.tributaria.LE@pce.finanze.it;corte.tributaria.MT@pce.finanze.it;corte.tributaria.OR@pce.finanze.it;corte.tributaria.PC@pce.finanze.it;corte.tributaria.RC@pce.finanze.it;corte.tributaria.RO@pce.finanze.it;corte.tributaria.SS@pce.finanze.it;corte.tributaria.TE@pce.finanze.it;corte.tributaria.TO@pce.finanze.it;rts-fg.rgs@pec.mef.gov.it;rts-go.rgs@pec.mef.gov.it;rts-lt.rgs@pec.mef.gov.it;rts-tr.rgs@pec.mef.gov.it;rts-vi.rgs@pec.mef.gov.it;rgs.ucb.mef@pec.mef.gov.it;rgs.ucb.mi.gedoc@pec.mef.gov.it;rgs.ucb-salute.gedoc@pec.mef.gov.it;corte.tributaria.abruzzo@pce.finanze.it;corte.tributaria.AO@pce.finanze.it;corte.tributaria.AT@pce.finanze.it;corte.tributaria.CB@pce.finanze.it;corte.tributaria.CE@pce.finanze.it;corte.tributaria.CS@pce.finanze.it;corte.tributaria.FI@pce.finanze.it;corte.tributaria.FR@pce.finanze.it;corte.tributaria.lazio@pce.finanze.it;corte.tributaria.LU@pce.finanze.it;corte.tributaria.MC@pce.finanze.it;corte.tributaria.NO@pce.finanze.it;corte.tributaria.PO@pce.finanze.it;corte.tributaria.RE@pce.finanze.it;corte.tributaria.sardegna@pce.finanze.it;corte.tributaria.SI@pce.finanze.it;corte.tributaria.SP@pce.finanze.it;rts-av.rgs@pec.mef.gov.it;rts-br.rgs@pec.mef.gov.it;rts-cb.rgs@pec.mef.gov.it;rts-fc.rgs@pec.mef.gov.it;rts-me.rgs@pec.mef.gov.it;rts-si.rgs@pec.mef.gov.it;rts-ss.rgs@pec.mef.gov.it;rts-to.rgs@pec.mef.gov.it;rts-va.rgs@pec.mef.gov.it;rts-vr.rgs@pec.mef.gov.it;rgs.ucb.difesa.gedoc@pec.mef.gov.it;rgs.ucb-giustizia.gedoc@pec.mef.gov.it,domicili digitali
81000130435,c_f460,Comune di Monte Cavallo,comune.montecavallo@pec.it,domicili digitali
81000190439,c_g657,Comune di Pieve Torina,comune.pievetorina.mc@legalmail.it,domicili digitali
81000190686,c_c308,Comune di Castiglione a Casauria,comunecastiglioneacasauria@legalmail.it,domicili digitali
81000250431,c_d564,Comune di Fiastra,comune.fiastra.mc@legalmail.it,domicili digitali
81000270678,c_c322,Comune di Castilenti,protocollo@pec.comune.castilenti.te.it;suap@pec.comune.castilenti.te.it,domicili digitali
81000350678,c_3rhm,Comune di Cellino Attanasio,postacert@pec.comune.cellinoattanasio.te.it,domicili digitali
81000370676,c_f747,Comune di Morro D'Oro,protocollo@pec.comune.morrodoro.te.it,domicili digitali
81000390674,c_f942,Comune di Notaresco,lavoripubblici@pec.comune.notaresco.te.it;territorio@pec.comune.notaresco.te.it;finanziario@pec.comune.notaresco.te.it;servizio.amministrativo@pec.comune.notaresco.te.it;polizialocale@pec.comune.notaresco.te.it;protocollo@pec.comune.notaresco.te.it,domicili digitali
81000410688,c_i376,Comune di San Valentino in Abruzzo Citeriore,info@pec.comune.sanvalentino.pe.it,domicili digitali
81000430546,c_f685,Comune di Montone,comune.montone@postacert.umbria.it,domicili digitali
81000480434,c_i661,Comune di Serravalle di Chienti,comune.serravalledichienti.mc@legalmail.it,domicili digitali
81000670448,c_f549,Comune di Montelparo,COMUNE.MONTELPARO@EMARCHE.IT,domicili digitali
81000730432,c_m078,Comune di Visso,comune.visso.mc@legalmail.it,domicili digitali
81000850446,c_f664,Comune di Monte Vidon Combatte,comune.montevidoncombatte@emarche.it,domicili digitali
81000910430,c_a947,Comune di Bolognola,comune@pec.comune.bolognola.mc.it,domicili digitali
81000910448,c_f633,Comune di Monte Urano,comune.monteurano@emarche.it,domicili digitali
81001050442,c_f697,Comune di Montottone,comune@pec.montottone.eu,domicili digitali
81001090448,c_d760,Comune di Francavilla D'Ete,pecomune.francavilladete@emarche.it,domicili digitali
81001170448,c_e208,Comune di Grottazzolina,comune.grottazzolina@emarche.it,domicili digitali
81001270446,c_f626,Comune di Monte San Pietrangeli,comune.montesanpietrangeli@emarche.it,domicili digitali
81001330448,c_f665,Comune di Monte Vidon Corrado,certificata@pec.comune.montevidoncorrado.fm.it,domicili digitali
81001350446,c_i324,Comune di Sant'Elpidio a Mare,protocollo@pec.santelpidioamare.it,domicili digitali
81001450444,c_f379,Comune di Monsampietro Morico,comune.monsampietromorico@emarche.it,domicili digitali
81001470558,c_f462,Comune di Montecchio,comune.montecchio@postacert.umbria.it;suap.comune.montecchio@postacert.umbria.it,domicili digitali
81001490440,c_a760,Comune di Belmonte Piceno,comune.belmontepiceno@pec.it;utc.belmontepiceno@pec.it,domicili digitali
81001510551,c_g148,Comune di Orvieto,comune.orvieto@postacert.umbria.it,domicili digitali
81001630417,c_f347,Comune di Mondavio,comune.mondavio@emarche.it,domicili digitali
81001750447,c_d477,Comune di Falerone,protocollo.comune.falerone@emarche.it,domicili digitali
81001810431,c_l517,Comune di Ussita,anagrafe@pec.comune.ussita.mc.it,domicili digitali
81001810449,c_f428,Comune di Montappone,certificata@pec.comune.montappone.fm.it,domicili digitali
81001850445,c_f536,Comune di Monteleone di Fermo,monteleonedifermo@pec.it,domicili digitali
81001890441,c_g873,Comune di Ponzano di Fermo,comune@pec.ponzanodifermo.org,domicili digitali
81001910439,USC,Universita' degli Studi di Camerino,protocollo@pec.unicam.it,domicili digitali
81001950443,c_g403,Comune di Pedaso,protocollo@pec.comunedipedaso.it,domicili digitali
81001970441,c_f517,Comune di Monte Giberto,info@pec.montegiberto.net,domicili digitali
81002030443,c_f520,Comune di Montegiorgio,comune.montegiorgio@emarche.it,domicili digitali
81002090447,c_c070,Comune di Servigliano,comune@pec.comune.servigliano.fm.it,domicili digitali
81002350684,c_g499,Comune di Pescosansonesco,sindaco@pec.comune.pescosansonesco.pe.it,domicili digitali
81003650447,c_g921,Comune di Porto Sant'Elpidio,pseprotocollo@postecert.elpinet.it,domicili digitali
82000070670,c_f764,Comune di Mosciano Sant'Angelo,comune.mosciano.te@legalmail.it,domicili digitali
82000530442,c_f380,Comune di Monsampolo del Tronto,comune.monsampolodeltronto@pec.it,domicili digitali
82000670446,c_e207,Comune di Grottammare,comune.grottammare.protocollo@emarche.it,domicili digitali
82001180676,c_e989,Comune di Martinsicuro,protocollo.martinsicuro@pec.it,domicili digitali
82001410545,c_e229,Comune di Gualdo Cattaneo,comune.gualdocattaneo@postacert.umbria.it,domicili digitali
82001560679,c_c972,Comune di Colonnella,comune.colonnella@pec.it,domicili digitali
82001610540,c_f492,Comune di Montefalco,comune.montefalco@postacert.umbria.it,domicili digitali
82001750544,c_i888,Comune di Spello,comune.spello@postacert.umbria.it,domicili digitali
82001930443,c_b727,Comune di Carassai,protocollo@pec.comune.carassai.ap.it,domicili digitali
82002250429,c_c060,Comune di Castelbellino,comune.castelbellino@emarche.it,domicili digitali
82002470423,c_h979,Comune di San Marcello,sanmarcello.suap@emarche.it;comune.sanmarcello@emarche.it,domicili digitali
82002820676,c_d043,Comune di Corropoli,anagrafe@pec.comunecorropoli.it;ragioneria@pec.comunecorropoli.it;urbanistica@pec.comunecorropoli.it;notifichepl.corropoli@pec.it;protocollo@pec.comunecorropoli.it;poliziamunicipale@pec.comunecorropoli.it,domicili digitali
83000110433,c_l191,Comune di Tolentino,comune.tolentino.mc@legalmail.it,domicili digitali
83000590667,c_m090,Comune di Corfinio,comune.corfinio.aq@pec.it,domicili digitali
83002290431,c_e228,Comune di Gualdo,comune.gualdo.mc@legalmail.it,domicili digitali
83002470439,c_f622,Comune di Monte San Martino,montesanmartino@pec.it,domicili digitali
83002570436,c_g436,Comune di Penna San Giovanni,pennasangiovanni@pec.it,domicili digitali
83002690432,c_i286,Comune di Sant'Angelo In Pontano,comune.santangeloinpontano@pec.it,domicili digitali
84001550544,c_l627,Comune di Vallo di Nera,comune.vallodinera@postacert.umbria.it,domicili digitali
84002330540,c_b504,Comune di Campello sul Clitunno,comune.campellosulclitunno@postacert.umbria.it,domicili digitali
84002410540,c_b948,Comune di Cascia,comune.cascia@postacert.umbria.it,domicili digitali
84002490542,c_c527,Comune di Cerreto di Spoleto,comune.cerretodispoleto@postacert.umbria.it,domicili digitali
84002570541,c_f540,Comune di Monteleone di Spoleto,comune.monteleonedispoleto@postacert.umbria.it,domicili digitali
84002650541,c_f935,Comune di Norcia,comune.norcia@postacert.umbria.it,domicili digitali
84002730541,c_h015,Comune di Preci,comune.preci@postacert.umbria.it,domicili digitali
84002810541,c_i523,Comune di Scheggino,comune.scheggino@postacert.umbria.it,domicili digitali
84006620540,c_g758,Comune di Poggiodomo,comune.poggiodomo@postacert.umbria.it,domicili digitali
90038780442,p_FM,Provincia di Fermo,provincia.fermo@emarche.it,domicili digitali
90076740571,uslrps,Ufficio Speciale per La Ricostruzione Post Sisma 2016 della Regione Lazio,finanzaesviluppo.usr@pec.regione.lazio.it;pubblica.ricostruzionelazio@pec.regione.lazio.it;pec.usrlaziogare@legalmail.it;conferenzeusr@pec.regione.lazio.it;privata.ricostruzionelazio@pec.regione.lazio.it;pec.usrlaziogare@pec.regione.lazio.it,domicili digitali
91059790682,artaa_pe,Agenzia Regionale per La Tutela dell' Ambiente dell' Abruzzo,protocollo@pec.artaabruzzo.it,domicili digitali
91278030373,arlst,Agenzia Regionale per La Sicurezza Territoriale e La Protezione Civile,peiarpciv@postacert.regione.emilia-romagna.it,domicili digitali
92001400677,c_d489,Comune di Fano Adriano,protocollo@cert.comune.fanoadriano.te.it,domicili digitali
92012890676,unite,Universita' degli Studi di Teramo,protocollo@pec.unite.it,domicili digitali
92049990416,cbdm,Consorzio di Bonifica Delle Marche,pec@pec.bonificamarche.it,domicili digitali
92054150674,usrpsaq,Ufficio Speciale per La Ricostruzione Post Sisma 2016 per La Regione Abruzzo,usr2016@pec.regione.abruzzo.it,domicili digitali
93151650426,LXFZQA8T,Ufficio Speciale per la Ricostruzione post sisma 2016 per la Regione Marche,regione.marche.usr.amministrazione@emarche.it;regione.marche.usr.appalticontratti@emarche.it;regione.marche.usr.pubblica@emarche.it;regione.marche.usr.privata@emarche.it;regione.marche.usr@emarche.it;regione.marche.usr.ordinanzespeciali@emarche.it;regione.marche.usr.sviluppoterritorio@emarche.it,domicili digitali
94162980547,uslrp,Ufficio Speciale per La Ricostruzione Post sisma 2016 della Regione Umbria,ufficiospecialericostruzione@pec.regione.umbria.it,domicili digitali
