cup,soggetto_titolare,cf_piva_soggetto,categoria_soggetto,sotto_categoria_soggetto,natura,tipologia_intervento,settore_intervento,sotto_settore_intervento,categoria_intervento,descrizione_cup,anno_decisione,importo_costo_progetto,importo_finanziamento,tipo_copertura,strumento,numero_cup_collegati,cup_master_collegato,url_opencup
H67H21003840001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIVICO CIMITERO OSOLI*LOCALITA' OSOLI*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,80000.0,80000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21003840001
H67H21003850001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIVICO CIMITERO PASTINA*LOCALITA' PASTINA*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,65000.0,65000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21003850001
H67H21003860001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIVICO CIMITERO SCALELLE*LOCALITA' SCALELLE*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,150000.0,150000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21003860001
H67H21004840001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,ALTRE STRUTTURE/INFRASTRUTTURE STRADALI,PONTE DI BRANDI*LOCALITA' BRANDI*PONTE STRADALE-LAVORI DI RICOSTRUZIONE SISMA 2016,2021,200000.0,200000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21004840001
H67H21004990001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",S.C. ALETTA*STRADA COMUNALE ALETTA*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,150000.0,150000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21004990001
H67H21005000001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",S.C. CIARPELLESCO*STRADA COMUNALE CIARPELLESCO*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,100000.0,100000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21005000001
H67H21005020001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",S.C. SASSOMAIO*STRADA COMUNALE SASSOMAIO*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,90000.0,90000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21005020001
H67H21005080001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",S.V. STABINO*STRADA VICINALE STABINO*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,45000.0,45000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H21005080001
H67H22001570001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",S.C. SAN GIACOMO*STRADA COMUNALE SAN GIACOMO*LAVORI DI RICOSTRUZIONE SISMA 2016,2022,250000.0,250000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H22001570001
H67H22001620001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,STRADE RURALI,S.I. CERQUETO*STRADA FURCOLA-CERQUETO-PEDARA*LAVORI DI RICOSTRUZIONE SISMA 2016,2022,170000.0,170000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H22001620001
H67H22001800001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,STRADE RURALI,S.I. FONTE DEI PIOPPI*STRADA RURALE FONTE DEI PIOPPI*LAVORI DI RICOSTRUZIONE SISMA 2016,2022,160000.0,160000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H67H22001800001
H68E18000190001,COMUNE DI MONTELUPONE - MC -,00132110438,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,SCUOLE MATERNE,RICOSTRUZIONE SCUOLA MATERNA SACRO CUORE  SISMA 2016*VIA VECCHIOTTI*RICOSTRUZIONE SCUOLA MATERNA SACRO CUORE,2018,1000000.0,1000000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H68E18000190001
H69C18000070001,COMUNE DI MONTELUPONE - MC -,00132110438,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,"LAVORI DI RIPARAZIONE DANNI PALAZZO COMUNALE  SISMA 2016*PIAZZA DEL COMUNE, 1*MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE",2018,2100000.0,2100000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69C18000070001
H69E18000000001,COMUNE DI PACIANO - PERUGIA -,00436320543,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,CULTO,CHIESE,MESSA IN SICUREZZA CHIESA CIMITERIALE DEL CAPOLUOGO*VIA STRADA PROVINCIALE 310*MESSA IN SICUREZZA CHIESA CIMITERIALE DEL CAPOLUOGO,2018,250000.0,250000.0,STATALE,ALTRO-PIANO TRIENNALE OO.PP. 2018-2020,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69E18000000001
H69F23000100001,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE MARCHE,93151650426,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI REGIONALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",ALTRE STRUTTURE RICREATIVE,INTERVENTO DI MIGLIORAMENTO DELL'IMMOBILE DEL POLIGONO DI TIRO IN C.DA SALTI - COMUNE DI SANT'ANGELO IN PONTANO*CONTRADA SALTI*INTERVENTO DI MIGLIORAMENTO SISMICO,2023,650000.0,650000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69F23000100001
H69G18000230001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIVICO CIMITERO COMUNALE IN LOCALITA' MARSIA CAPOLUOGO*VIA PICENA SUPERIORE*O.C.S.R. N.56/2018 - SECONDO PROGRAMMA DEGLI INTERVENTI DI RICOSTRUZIONE (...) - LAVORI DI RAFFORZAMENTO LOCALE DEL CIMITERO CIVICO MARSIA DEL COMUNE DI ROCCAFLUVIONE,2018,290000.0,290000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69G18000230001
H69J21014550001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",IMPIANTI SPORTIVI,EX BOCCIOFILA COMUNALE*VIA P. NENNI SNC*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,90000.0,90000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69J21014550001
H69J21014560001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",IMPIANTI SPORTIVI,PALESTRA POLIFUNZIONALE*VIA P. NENNI SNC*LAVORI DI RICOSTRUZIONE SISMA 2016,2021,200000.0,200000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69J21014560001
H69J22001930001,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",SPAZIO PUBBLICO URBANO E INFRASTRUTTURE INTERNE ALL'ABITATO*CENTRO ABITATO LOCALITA' MARSIA CAPOLUOGO*LAVORI DI RICOSTRUZIONE SISMA 2016,2022,400000.0,400000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H69J22001930001
H71B19000760002,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,ABITATIVE,ALTRI EDIFICI ABITATIVI,REALIZZAZIONE DI AREA CAMPER*VIA FRAZIONE ASTORARA*REALIZZAZIONE DI AREA CAMPER NEL TERRITORIO COMUNALE DI MONTEGALLO - FRAZIONE ASTORARA,2019,225000.0,225000.0,REGIONALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71B19000760002
H71B19000770002,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,ABITATIVE,ALTRI EDIFICI ABITATIVI,REALIZZAZIONE DI AREA CAMPER*VIA FRAZIONE SANTA MARIA IN LAPIDE*REALIZZAZIONE DI AREA CAMPER NEL TERRITORIO COMUNALE DI MONTEGALLO - FRAZIONE SANTA MARIA IN LAPIDE,2019,225000.0,225000.0,REGIONALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71B19000770002
H71C18000010001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,EDIFICIO SEDE MUNICIPALE*FRAZ. BALZO PIAZZA TALIANI 1-3-5*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2018,1800000.0,1800000.0,STATALE,ALTRO-Programma triennale lavori pubblici,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71C18000010001
H71D18000000001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,"EDIFICIO COMUNALE*ANNIBAL CARO 12 14, FRAZIONE BALZO*SISMA 2016 2017: RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO",2018,580000.0,580000.0,STATALE,ALTRO-Programma triennale opere pubbliche,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71D18000000001
H71F18000050002,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE DI TRASPORTO,AEROPORTUALI,PISTE,ELISUPERFICIE SERVIZIO DI ELISOCCORSO E PROTEZIONE CIVILE*FRAZIONE BALZO*REALIZZAZIONE ELISUPERFICIE APPARTENENTE ALLA RETE R.E.M. FINALIZZATA AL SERVIZIO DI ELISOCCORSO E PROTEZIONE CIVILE,2018,150000.0,150000.0,REGIONALE,ALTRO-PROGRAMMA LAVORI PUBBLICI,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71F18000050002
H71G23000020001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,"PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE",INFRASTRUTTURE VERDI,RIPRISTINO E RIFUNZIONALIZZAZIONE SENTIERI E AREE ATTREZZATE*COMUNE DI MONTEGALLO*RIPRISTINO E RIFUNZIONALIZZAZIONE,2023,2000000.0,2000000.0,STATALE,ALTRO-Sisma 2009-2016 - Programma di rigenerazione urbana - Scheda 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71G23000020001
H71H17000070001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,"EDIFICIO EDILIZIA RESIDENZIALE PUBBLICA, E.R.P.*FRAZIONE ABETITO*SISMA 2016 2017: RIPRISTINO DANNI CON MIGLIORAMENTO SISMICO DA DESTINARE AL SODDISFACIMENTO DEL BISOGNO ABITATIVO",2017,364180.0,364180.0,STATALE,ALTRO-PROGRAMMA TRIENNALE LAVORI PUBBLICI,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71H17000070001
H71H18000000001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIMITERO SANTA CROCE*FRAZ. INTERPRETE*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2018,390000.0,390000.0,STATALE,ALTRO-programma triennale lavori pubblici,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71H18000000001
H71H18000010001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIMITERO SANTA MARIA IN LAPIDE*FRAZ. SANTA MARIA IN LAPIDE*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2018,830000.0,830000.0,STATALE,ALTRO-Programma triennale lavori pubblici,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71H18000010001
H71H18000020001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIMITERO CASTRO*FRAZ. CASTRO*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2018,177500.0,177500.0,STATALE,ALTRO-Programma triennale lavori pubblici,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71H18000020001
H71H18000030001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,CIMITERO ABETITO*FRAZ. ABETITO*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2018,93000.0,93000.0,STATALE,ALTRO-Programma triennale lavori pubblici,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71H18000030001
H71I18000220004,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"SCUOLE ELEMENTARI, MEDIE E SUPERIORI",SCUOLA PRIMARIA GIUSEPPE MARIA RIZZI*VIA MARCUCCI (FRAZIONE BALZO) 26*SISMA 2016 2017: RICOSTRUZIONE,2018,615000.0,615000.0,"STATALE, PROVINCIALE",ALTRO-PROGRAMMA TRIENNALE LAVORI PUBBLICI,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71I18000220004
H71J23000160001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL NUCLEO STORICO IN LOCALITA' VENTURA DI FRAZIONE PROPEZZANO*FRAZ. PROPEZZANO*RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE,2023,2750000.0,2750000.0,STATALE,ALTRO-SISMA 2009-2016 - PROGRAMMA DI RIGENERAZIONE URBANA - SCHEDA 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71J23000160001
H71J23000170001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL NUCLEO STORICO IN LOCALITA' VALLE DI FRAZIONE PROPEZZANO*FRAZ. PROPEZZANO*RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE,2023,2750000.0,2750000.0,STATALE,ALTRO-Sisma 2009-2016 - Programma di rigenerazione urbana - Scheda 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71J23000170001
H71J23000180001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL NUCLEO STORICO IN LOCALITA' CANALE DI FRAZIONE ABETITO*FRAZ. ABETITO*FRAZ. ABETITO,2023,4500000.0,4500000.0,STATALE,ALTRO-Sisma 2009-2016 - Programma di rigenerazione urbana - Scheda 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71J23000180001
H71J23000190001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL NUCLEO STORICO IN LOCALITA' VAGLIE DI FRAZIONE ABETITO*FRAZ. ABETITO*RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE,2023,2750000.0,2750000.0,STATALE,ALTRO-Sisma 2009-2016 - Programma di rigenerazione urbana - Scheda 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71J23000190001
H71J23000200001,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,"RIPARAZIONE DANNI SISMA E SISTEMAZIONE DELLA PIAZZA ANTISTANTE ALLA CHIESA DI S.VITO IN FRAZIONE PROPEZZANO E MITIGAZIONE DEL DISSESTO IDROGEOLOGICO CONNESSO*FRAZ. PROPEZZANO*RIPARAZIONE DANNI SISMA, SISTEMAZIONE E  MITIGAZIONE",2023,800000.0,800000.0,STATALE,ALTRO-Sisma 2009-2016 - Programma di rigenerazione urbana - Scheda 2,0,"",https://opencup.gov.it/portale/progetto/-/cup/H71J23000200001
