stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,25/09/2025,25/09/2025,OSR SGB,Trasporto pubblico locale,PERSONALE SOC. MOM DI TREVISO,24 ORE,Locale,null,04/09/2025,Veneto,Treviso,04/09/2025 15:13,2025-09-25,2025-09-25
"Revocato (include le azioni di revoca, sospensione e differimento)",25/09/2025,25/09/2025,OSR UILT-UIL/UGL FERROVIERI/SALPAS-ORSA FERROVIE/FAST-CONFSAL,Appalti ferroviari,PERSONALE APPALTI FERROVIARI DELLA SOC. COOPSERVICE SCDP C/O SOC. TRENITALIA REGIONE LAZIO,4 ORE: PRIMA META' DEL TURNO,Regionale,null,11/09/2025,Lazio,Tutte,12/09/2025 09:07,2025-09-25,2025-09-25
Effettuato,24/09/2025,24/09/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. CONEROBUS DI ANCONA,4 ORE: DALLE 11.30 ALLE 15.30,Locale,null,08/09/2025,Marche,Ancona,08/09/2025 11:38,2025-09-24,2025-09-24
"Revocato (include le azioni di revoca, sospensione e differimento)",23/09/2025,23/09/2025,OSR SGB,Trasporto pubblico locale,PERSONALE SOC. MOM DI TREVISO,24 ORE,Locale,null,04/09/2025,Veneto,Treviso,04/09/2025 13:09,2025-09-23,2025-09-23
Effettuato,22/09/2025,22/09/2025,CUB/SGB/ADL VARESE/USI-CIT,Generale,SCIOPERO GENERALE CATEGORIE PUBBLICHE E PRIVATE,INTERA GIORNATA - TRASP. MERCI SU ROTAIA: DALLE 21.00 DEL 21/9 ALLE 21.00 DEL 22/9; AUTOSTRADE: DALLE 22.00 DEL 21/9 ALLE 22.00 DEL 22/9; PORTI: INTERA GIORNATA,Nazionale,"ESCLUSO IL TRASPORTO AEREO E TRASPORTO PASSEGGERI - ADESIONE OOSS USI, USI-CIT, FISI",11/09/2025,Italia,Tutte,11/09/2025 15:44,2025-09-22,2025-09-22
Effettuato,22/09/2025,22/09/2025,OSR ORSA AUTOFERRO TPL,Trasporto pubblico locale,"PERSONALE SOC. SETA BACINI DI MODENA, REGGIO EMILIA E PIACENZA",4 ORE: DALLE 16.01 ALLE ORE 20.00,Locale,null,25/08/2025,Emilia-Romagna,Tutte,25/08/2025 14:16,2025-09-22,2025-09-22
Effettuato,22/09/2025,22/09/2025,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,"PERSONALE SOC. SETA BACINI DI MODENA, REGGIO EMILIA E PIACENZA",24 ORE: VARIE MODALITA',Locale,null,04/08/2025,Emilia-Romagna,Tutte,04/08/2025 18:08,2025-09-22,2025-09-22
Effettuato,22/09/2025,22/09/2025,USB,Generale,SCIOPERO GENERALE CATEGORIE PUBBLICHE E PRIVATE,"INTERA GIORNATA - FERROVIARIO: DALLE 00.00 ALLE 23.00 DEL 22/9; TPL, MARITTIMO, MERCI E LOGISTICA: 24 ORE VARIE MODALITA'; TAXI: DALLE 00.00 ALLE 23.59",Nazionale,"ESCLUSO IL TRASPORTO AEREO E BACINI DI UTENZA INTERESSATI DA SCIOPERI LOCALI PRECEDENTEMENTE INDETTI IN ALTRI SETTORI TRASPORTI - ADESIONE OOSS USI, ORSA TPL LAZIO, FISI, CSS - CONF. SINDACALE SARDA",11/09/2025,Italia,Tutte,11/09/2025 09:29,2025-09-22,2025-09-22
Effettuato,19/09/2025,19/09/2025,A.L. COBAS,Trasporto pubblico locale,PERSONALE SOC. NET (NORD EST TRASPORTI) DI MONZA  E TREZZO SULL'ADDA,24 ORE,Locale,null,05/09/2025,Lombardia,Monza e Brianza,05/09/2025 17:52,2025-09-19,2025-09-19
Effettuato,19/09/2025,19/09/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMAT DI PALERMO,4 ORE: DALLE 11.00 ALLE 15.00,Locale,null,21/08/2025,Sicilia,Palermo,21/08/2025 15:38,2025-09-19,2025-09-19
"Revocato (include le azioni di revoca, sospensione e differimento)",18/09/2025,18/09/2025,OSR USB LAVORO PRIVATO/ORSA TPL,Trasporto pubblico locale,PERSONALE SOC. ATAC DI ROMA,4 ORE: DALLE 20.30 ALLE 00.30,Locale,null,25/08/2025,Lazio,Roma,25/08/2025 16:40,2025-09-18,2025-09-18
Effettuato,18/09/2025,18/09/2025,OSR/OSP ORSA AUTOFERRO TPL,Trasporto pubblico locale,"PERSONALE SOC. ARST PROVINCE DI CAGLIARI, SASSARI, NUORO E ORISTANO",INTERA GIORNATA LAVORATIVA DEL 18/9 DA INIZIO A FINE SERVIZIO,Territoriale,null,03/08/2025,Sardegna,Tutte,03/08/2025 08:17,2025-09-18,2025-09-18
Effettuato,16/09/2025,17/09/2025,FILT-CGIL/FIT-CISL/UILT-UIL,Trasporto merci,PERSONALE SOC. CAPTRAIN ITALIA,24 ORE: DALLE 16.01 DEL 16/9 ALLE 16.00 DEL 17/9,Nazionale,null,30/07/2025,Italia,Tutte,31/07/2025 11:02,2025-09-16,2025-09-17
Effettuato,16/09/2025,17/09/2025,FILT-CGIL/FIT-CISL/UILT-UIL/UGL FERROVIERI/FAST-CONFSAL,Trasporto merci,PERSONALE VIAGGIANTE TRASPORTO MERCI SU FERRO SOC. GTS RAIL,24 ORE: DALLE 16.01 DEL 16/9 ALLE 16.00 DEL 17/9,Nazionale,null,04/08/2025,Italia,Tutte,04/08/2025 11:28,2025-09-16,2025-09-17
Effettuato,16/09/2025,16/09/2025,OST UILT-UIL/UGL-FNA,Trasporto pubblico locale,PERSONALE SOC. PAOLO SCOPPIO E FIGLIO AUTOLINEE DI BARI,4 ORE: DALLE 15.30 ALLE 19.30,Locale,null,04/08/2025,Puglia,Bari,04/08/2025 21:51,2025-09-16,2025-09-16
Effettuato,15/09/2025,15/09/2025,OSP COBAS LAVORO PRIVATO,Trasporto pubblico locale,"PERSONALE SOC. AUTOLINEE TOSCANE DIPARTIMENTO CENTRO - PROVINCE DI FIRENZE, PRATO E PISTOIA",24 ORE,Territoriale,null,25/08/2025,Toscana,Tutte,28/08/2025 15:54,2025-09-15,2025-09-15
Effettuato,15/09/2025,15/09/2025,OSP COBAS LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. GEST FIRENZE,24 ORE,Territoriale,null,27/08/2025,Toscana,Firenze,28/08/2025 16:01,2025-09-15,2025-09-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/09/2025,15/09/2025,OSP FAISA-CISAL/UGL-AUTOFERRO,Trasporto pubblico locale,PERSONALE SOC. START ROMAGNA BACINO DI RAVENNA,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,19/08/2025,Emilia-Romagna,Ravenna,19/08/2025 14:07,2025-09-15,2025-09-15
Effettuato,15/09/2025,15/09/2025,OSP FAST-CONFSAL,Trasporto pubblico locale,PERSONALE SOC. AUTOLINEE TOSCANE PROVINCIA DI PISA,24 ORE,Provinciale,null,22/07/2025,Toscana,Pisa,22/07/2025 11:06,2025-09-15,2025-09-15
Effettuato,15/09/2025,15/09/2025,OSR FILT-CGIL/FAISA-CISAL,Trasporto pubblico locale,"PERSONALE SOCC. TPL REGIONE UMBRIA BUSITALIA SITA NORD, SULGA AUTOLINEE, ACAP, AUTOSERVIZI TROIANI, CMT TERNI, AUTOSERVIZI FONTI, EREDI FORTUNI",24 ORE,Regionale,null,30/07/2025,Umbria,Tutte,30/07/2025 01:18,2025-09-15,2025-09-15
Effettuato,15/09/2025,15/09/2025,OSR UGL FERROVIERI,Ferroviario,"PERSONALE SOC. TRENITALIA PRODUZIONE REGIONALE, PRODUZIONE IC, IMC CARROZZE SERVIZIO INTERCITY REGIONE CALABRIA",8 ORE: DALLE 09.01 ALLE 17.00,Regionale,null,01/08/2025,Calabria,Tutte,01/08/2025 10:11,2025-09-15,2025-09-15
Effettuato,15/09/2025,15/09/2025,OST FILT-CGIL/UILT-UIL/UGL-FNA/COBAS L.P.,Trasporto pubblico locale,"PERSONALE SOCC. ATC ESERCIZIO, TROTTA BUS SERVICES, AUTOSERVIZI RICCITELLI DI LA SPEZIA",24 ORE,Territoriale,null,21/07/2025,Liguria,La Spezia,22/07/2025 08:24,2025-09-15,2025-09-15
"Revocato (include le azioni di revoca, sospensione e differimento)",14/09/2025,14/09/2025,OSR USB LAVORO PRIVATO,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,29/07/2025,Italia,Tutte,30/07/2025 10:56,2025-09-14,2025-09-14
"Revocato (include le azioni di revoca, sospensione e differimento)",12/09/2025,12/09/2025,CUB TRASPORTI,Aereo,"LAVORATORI COMPARTO AEREO, AEROPORTUALE E INDOTTO AEROPORTI",24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,30/07/2025,Italia,Tutte,30/07/2025 11:01,2025-09-12,2025-09-12
"Revocato (include le azioni di revoca, sospensione e differimento)",10/09/2025,10/09/2025,OSP FILT-CGIL/ FIT-CISL/UILT-UIL,Trasporto pubblico locale,PERSONALE SOC. AMAG MOBILITA' DI ALESSANDRIA,4 ORE: DALLE 10.30 ALLE 14.30,Locale,null,08/08/2025,Piemonte,Alessandria,08/08/2025 12:17,2025-09-10,2025-09-10
Effettuato,08/09/2025,08/09/2025,OSP FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAISA-CISAL/SIAL COBAS + RSU,Trasporto pubblico locale,PERSONALE SOC. TPL LINEA DI SAVONA,24 ORE,Locale,null,18/08/2025,Liguria,Savona,18/08/2025 17:28,2025-09-08,2025-09-08
Effettuato,08/09/2025,08/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. AUTOLINEE RUSSO DI PALERMO,24 ORE,Locale,null,26/07/2025,Sicilia,Palermo,26/07/2025 11:07,2025-09-08,2025-09-08
Effettuato,08/09/2025,08/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. SEGESTA AUTOLINEE DI PALERMO,24 ORE,Locale,null,26/07/2025,Sicilia,Palermo,26/07/2025 11:07,2025-09-08,2025-09-08
Effettuato,08/09/2025,08/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. INTERBUS DI ENNA,24 ORE,Locale,null,26/07/2025,Sicilia,Enna,26/07/2025 11:07,2025-09-08,2025-09-08
Effettuato,08/09/2025,08/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. ETNA TRASPORTI DI CATANIA,24 ORE,Locale,null,26/07/2025,Sicilia,Catania,26/07/2025 11:07,2025-09-08,2025-09-08
Effettuato,06/09/2025,06/09/2025,ADL VARESE,Aereo,PERSONALE SOC. DUSSMANN SERVICE ADDETTO A PULIZIE AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,09/08/2025,Italia,Tutte,09/08/2025 16:25,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,FAST-CONFSAL,Aereo,PERSONALE DIPENDENTE DALLE AZIENDE DEL SETTORE DEL TRASPORTO AEREO,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,16/07/2025,Italia,Tutte,16/07/2025 15:42,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,FILT-CGIL,Aereo,PERSONALE NAVIGANTE SOC. WIZZ AIR MALTA LIMITED,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,22/08/2025,Italia,Tutte,02/09/2025 11:47,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,OSP UGL-TA,Aereo,PERSONALE SOC. AVIATION SERVICES PRESSO AEROPORTO DI CATANIA FONTANAROSSA,4 ORE: DALLE 12.00 ALLE 16.00,Interregionale,null,04/07/2025,Italia,Tutte,04/07/2025 17:21,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,OSR CUB TRASPORTI,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,4 ORE: DALLE 12.00 ALLE 16.00,Regionale,null,08/08/2025,Toscana,Tutte,08/08/2025 18:03,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA/USB,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,4 ORE: DALLE 12.00 ALLE 16.00,Regionale,null,08/08/2025,Toscana,Tutte,11/08/2025 10:05,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,OSR UGL-TA,Aereo,PERSONALE SOC. AVIATION SERVICES AEROPORTI DI ROMA FIUMICINO E CIAMPINO,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,31/07/2025,Italia,Tutte,31/07/2025 16:13,2025-09-06,2025-09-06
"Revocato (include le azioni di revoca, sospensione e differimento)",06/09/2025,06/09/2025,OSR UGL-TA,Aereo,"PERSONALE SOC. SACAL AEROPORTI DI LAMEZIA TERME (CZ), CROTONE E REGGIO CALABRIA",4 ORE: DALLE 12.00 ALLE 16.00,Regionale,null,18/08/2025,Calabria,Tutte,18/08/2025 19:05,2025-09-06,2025-09-06
"Revocato (include le azioni di revoca, sospensione e differimento)",06/09/2025,06/09/2025,OSR UGL-TA,Aereo,PERSONALE SOC. SACAL GH AEROPORTO DI LAMEZIA TERME (CZ),4 ORE: DALLE 12.00 ALLE 16.00,Regionale,null,18/08/2025,Calabria,Tutte,18/08/2025 19:42,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,OST FILCAMS-CGIL,Aereo,PERSONALE SOC. DUSSMANN SERVICE ADDETTO A PULIZIE AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,14/08/2025,Italia,Tutte,14/08/2025 10:59,2025-09-06,2025-09-06
"Revocato (include le azioni di revoca, sospensione e differimento)",06/09/2025,06/09/2025,UILT-UIL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,24 ORE - LIMITATAMENTE AI VOLI DA E PER L'AEROPORTO DI CATANIA 4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,30/07/2025,Italia,Tutte,30/07/2025 12:21,2025-09-06,2025-09-06
"Revocato (include le azioni di revoca, sospensione e differimento)",06/09/2025,06/09/2025,UILT-UIL,Aereo,PERSONALE SOC. VOLOTEA,24 ORE,Nazionale,null,30/07/2025,Italia,Tutte,30/07/2025 16:35,2025-09-06,2025-09-06
Effettuato,06/09/2025,06/09/2025,USB LAVORO PRIVATO,Aereo,PERSONALE NAVIGANTE SOC. EASYJET AIRLINES,24 ORE: DALLE 00.00 ALLE 23.59 - LIMITATAMENTE AI VOLI DA E PER L'AEROPORTO DI CATANIA 4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,16/07/2025,Italia,Tutte,16/07/2025 12:13,2025-09-06,2025-09-06
Effettuato,05/09/2025,05/09/2025,OSR UILT-UIL/SLM FAST-CONFSAL/ORSA,Ferroviario,PERSONALE SOC. TRENITALIA APPARTENENTE ALLA DOR ( DIREZIONE OPERAZIONI E RETE ) TRENTINO ALTO ADIGE,8 ORE: DALLE 09.01 ALLE 16.59,Regionale,null,24/07/2025,Trentino-Alto Adige,Tutte,24/07/2025 09:11,2025-09-05,2025-09-05
Effettuato,05/09/2025,05/09/2025,USB LAVORO PRIVATO,Plurisettoriale,PERSONALE AZIENDE DELLA SOCIETÀ DEL GRUPPO FSI E TUTTE LE IMPRESE FERROVIARIE PRIVATE,8 ORE: DALLE 10.00 ALLE 18.00,Nazionale,ESCLUSI SETTORI MANUT. E INFRASTRUTTURE E ALTRI SETTORI SENZA NESSO STRUMENTALITA' ALLA CIRCOLAZIONE,25/08/2025,Italia,Tutte,25/08/2025 17:04,2025-09-05,2025-09-05
Effettuato,04/09/2025,05/09/2025,ASSEMBLEA NAZIONALE PDM/PDB GRUPPO FSI,Ferroviario,PERSONALE DI MACCHINA E DI BORDO DEL GRUPPO FERROVIE DELLO STATO ITALIANE,21 ORE: DALLE 21.00 DEL 4/9 ALLE 18.00 DEL 5/9,Nazionale,null,23/07/2025,Italia,Tutte,23/07/2025 11:40,2025-09-04,2025-09-05
Effettuato,04/09/2025,05/09/2025,ASSEMBLEA NAZIONALE PDM/PDB GRUPPO FSI,Ferroviario,PERSONALE DI MACCHINA E DI BORDO DEL GRUPPO FERROVIE DELLO STATO ITALIANE,21 ORE: DALLE 21.00 DEL 4/9 ALLE 18.00 DEL 5/9,Nazionale,null,23/07/2025,Italia,Tutte,23/07/2025 11:40,2025-09-04,2025-09-05
Effettuato,04/09/2025,04/09/2025,OSR SUL,Trasporto pubblico locale,PERSONALE SOC. ATAC DI ROMA,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,29/07/2025,Lazio,Roma,29/07/2025 22:27,2025-09-04,2025-09-04
Effettuato,04/09/2025,05/09/2025,SGB,Plurisettoriale,PERSONALE IMPRESE CHE SVOLGONO ATTIVITA' FERROVIARIA,SETTORE FERROVIARIO E TRASPORTO MERCI SU ROTAIA: 21 ORE DALLE 21.00 DEL 4/9 ALLE 18.00 DEL 5/9; *TPL: INTERA PRESTAZIONE DEL 5/9,Nazionale,null,10/07/2025,Italia,Tutte,10/07/2025 12:00,2025-09-04,2025-09-05
Effettuato,04/09/2025,05/09/2025,USB LAVORO PRIVATO,Trasporto merci,PERSONALE SOC. MEDWAY ITALIA,21 ORE: DALLE 21.00 DEL 4/9 ALLE 18.00 DEL 5/9,Nazionale,null,15/07/2025,Italia,Tutte,15/07/2025 17:30,2025-09-04,2025-09-05
"Revocato (include le azioni di revoca, sospensione e differimento)",25/08/2025,25/08/2025,OSR SUL,Trasporto pubblico locale,PERSONALE SOC. ATAC DI ROMA,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,28/07/2025,Lazio,Roma,28/07/2025 23:00,2025-08-25,2025-08-25
Effettuato,22/08/2025,22/08/2025,OSP UGL ATUOFERRO,Trasporto pubblico locale,PERSONALE SOC. AMT DI GENOVA,2 ORE: DALLE 11.30 ALLE 13.30,Territoriale,ART.2 COMMA 7 L. 146/90 E S.M.I. -,20/08/2025,Liguria,Genova,20/08/2025 22:27,2025-08-22,2025-08-22
"Revocato (include le azioni di revoca, sospensione e differimento)",26/07/2025,26/07/2025,CUB TRASPORTI,Aereo,"LAVORATORI COMPARTO AEREO, AEROPORTUALE E INDOTTO AEROPORTI",4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,27/05/2025,Italia,Tutte,27/05/2025 15:56,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,CUB TRASPORTI,Aereo,"LAVORATORI COMPARTO AEREO, AEROPORTUALE E INDOTTO AEROPORTI",4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,ESCLUSI I VOLI DA E PER L'AEROPORTO DI PALERMO,30/05/2025,Italia,Tutte,30/05/2025 16:16,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE AZIENDE HANDLING ASSOCIATE ASSOHANDLERS OPERANTI NEI SEDIMI AEROPORTUALI ITALIANI,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,14/07/2025,Italia,Tutte,14/07/2025 19:10,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSP COBAS LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. GEST DI FIRENZE,4 ORE: DALLE 22.30 A TERMINE TURNO,Territoriale,null,10/07/2025,Toscana,Firenze,10/07/2025 21:42,2025-07-26,2025-07-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/07/2025,26/07/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMTS DI CATANIA,4 ORE: 17.00-18.00 E 21.00-24.00,Locale,ASTENSIONE DAL LAVORO STRAORDINARIO 25 E 27/07/2025 E DAL 04/09/2025 AL 30/09/2025,14/07/2025,Sicilia,Catania,14/07/2025 23:30,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMTS DI CATANIA,3 ORE: DALLE 21.00 ALLE 24.00,Locale,ASTENSIONE DAL LAVORO STRAORDINARIO 25 E 27/07/2025 E DAL 04/09/2025 AL 30/09/2025,16/07/2025,Sicilia,Catania,16/07/2025 23:58,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSP FILT-CGIL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,ESCLUSI I VOLI DA E PER L'AEROPORTO DI PALERMO,14/07/2025,Italia,Tutte,14/07/2025 11:30,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSP FILT-CGIL/UILT-UIL/UGL-FNA,Trasporto pubblico locale,PERSONALE SOC. CSC MOBILITA' DI LATINA,4 ORE: DALLE 09.30 ALLE 13.30,Locale,null,14/07/2025,Lazio,Latina,14/07/2025 13:52,2025-07-26,2025-07-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/07/2025,26/07/2025,OSR FILT-CGIL/FAISA-CISAL,Trasporto pubblico locale,"PERSONALE SOCC. TPL REGIONE UMBRIA BUSITALIA SITA NORD, SULGA AUTOLINEE, ACAP, AUTOSERVIZI TROIANI, CMT TERNI, AUTOSERVIZI FONTI, EREDI FORTUNI",4 ORE: DALLE 20.00 ALLE 24.00,Regionale,null,03/07/2025,Umbria,Tutte,03/07/2025 21:09,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSR FILT-CGIL/FAISA-CISAL,Trasporto pubblico locale,"PERSONALE SOCC. TPL REGIONE UMBRIA BUSITALIA SITA NORD, SULGA AUTOLINEE, ACAP, AUTOSERVIZI TROIANI, CMT TERNI, AUTOSERVIZI FONTI, EREDI FORTUNI",4 ORE: DALLE 20.00 ALLE 24.00,Regionale,null,15/07/2025,Umbria,Tutte,15/07/2025 19:32,2025-07-26,2025-07-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/07/2025,26/07/2025,OSR ORSA TRASPORTI AUTOFERRO TPL,Trasporto pubblico locale,"PERSONALE TURNISTA (OPERATORI ESERCIZIO, COLLABORATORI ESERCIZIO E AUSILIARI) DELLA SOC. EAV SEDE DI ISCHIA E PROCIDA (NA)",4 ORE: DALLE 19.55 ALLE 23.55,Locale,null,18/06/2025,Campania,Napoli,18/06/2025 12:20,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. BUSITALIA SITA NORD REGIONE UMBRIA,24 ORE: VARIE MODALITA',Regionale,null,15/07/2025,Umbria,Tutte,15/07/2025 18:51,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OSR/OSP ORSA AUTOFERRO TPL,Trasporto pubblico locale,"PERSONALE SOC. ARST PROVINCE DI CAGLIARI, SASSARI, NUORO E ORISTANO",INTERA GIORNATA LAVORATIVA DEL 26/7 DA INIZIO A FINE SERVIZIO,Territoriale,null,10/07/2025,Sardegna,Tutte,10/07/2025 06:16,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,OST FIT-CISL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,14/07/2025,Italia,Tutte,14/07/2025 11:18,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,UILT-UIL,Aereo,PERSONALE SOC. VOLOTEA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,ESCLUSI I VOLI PIANIFICATI DA E PER L'AEROPORTO DI PALERMO,19/06/2025,Italia,Tutte,19/06/2025 14:38,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,UILT-UIL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,ESCLUSI I VOLI DA E PER L'AEROPORTO DI PALERMO,14/07/2025,Italia,Tutte,14/07/2025 10:05,2025-07-26,2025-07-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/07/2025,26/07/2025,USB LAVORO PRIVATO,Aereo,PERSONALE NAVIGANTE SOC. EASYJET AIRLINES,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,14/07/2025,Italia,Tutte,14/07/2025 14:25,2025-07-26,2025-07-26
Effettuato,26/07/2025,26/07/2025,USB LAVORO PRIVATO,Aereo,"PERSONALE AZIENDE ASSOCIATE AD ASSAEROPORTI, AEROPORTI 2030, ASSOHANDLERS, FEDERCATERING E PERSONALE DI TERRA DEI VETTORI DELL'AEROPORTO DI FIUMICINO",4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,ART.2 COMMA 7 L. 146/90 E S.M.I. -ESCLUSI I VOLI DA E PER L'AEROPORTO DI PALERMO,23/07/2025,Italia,Tutte,23/07/2025 14:25,2025-07-26,2025-07-26
Effettuato,25/07/2025,26/07/2025,FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA TRASPORTI,Appalti ferroviari,PERSONALE SOC. ELIOR DIV. POLARIS ADDETTO A SERVIZI ACCOGLIENZA E ACCOMPAGNAMENTO TRENI NOTTE INTERCITY DELLA SOC. TRENITALIA,PRIMA META' DEL TURNO DI LAVORO ( TRA LE 16.00 DEL 25/7 E LE 15.59 DEL 26/7 ),Nazionale,null,07/07/2025,Italia,Tutte,07/07/2025 11:41,2025-07-25,2025-07-26
Effettuato,25/07/2025,25/07/2025,RSA USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. STP DI TERRA D'OTRANTO BACINO DI LECCE,4 ORE: DALLE 16.30 ALLE 20.30,Territoriale,null,05/07/2025,Puglia,Lecce,05/07/2025 16:58,2025-07-25,2025-07-25
Effettuato,23/07/2025,23/07/2025,OSR FAISA-CONFAIL,Trasporto pubblico locale,PERSONALE FRONT-LINE DELLA SOC. EAV DI NAPOLI,2 ORE:  DALLE 09.00 ALLE 11.00,Locale,ART.2 COMMA 7 L. 146/90 E S.M.I.,21/07/2025,Campania,Napoli,21/07/2025 19:39,2025-07-23,2025-07-23
Effettuato,22/07/2025,23/07/2025,FILT-CGIL/FIT-CISL/UILT-UIL,Trasporto merci,PERSONALE SOC. CAPTRAIN ITALIA,24 ORE: DALLE 16.00 DEL 22/7 ALLE 16.00 DEL 23/7,Nazionale,null,11/07/2025,Italia,Tutte,11/07/2025 10:26,2025-07-22,2025-07-23
Effettuato,22/07/2025,23/07/2025,FILT-CGIL/FIT-CISL/UILT-UIL/UGL FERROVIERI/FAST-CONFSAL,Trasporto merci,PERSONALE VIAGGIANTE TRASPORTO MERCI SU FERRO SOC. GTS RAIL,24 ORE: DALLE 16.01 DEL 22/7 ALLE 16.00 DEL 23/7,Nazionale,null,26/06/2025,Italia,Tutte,26/06/2025 14:54,2025-07-22,2025-07-23
Effettuato,21/07/2025,22/07/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL,Marittimo,PERSONALE SOC. CARONTE & TOURIST ISOLE MINORI REGIONE SICILIA,24 ORE: DALLE 6.00 DEL 21/7 ALLE 05.59 DEL 22/7,Regionale,null,11/07/2025,Sicilia,Tutte,11/07/2025 15:58,2025-07-21,2025-07-22
